School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
William Penn High School,High School,2009,01/08/2009,8:30Pm,New Castle,Delaware,Suburbtown,Black,0,1,1,-75.5849,39.6681
Dunbar Vocational Career Academy,High School,2009,01/09/2009,8:00Pm,Chicago,Illinois,Urban,Black,0,5,5,-87.6175,41.8399
Cahokia High School,High School,2009,01/23/2009,7:20Pm,Cahokia,Illinois,Suburbtown,Black,1,0,1,-90.1651,38.5657
Zebulon Middle School,Middle School,2009,02/11/2009,6:00Am,Zebulon,North Carolina,Suburbtown,Black,0,1,1,-78.3118,35.8315
Central High School,High School,2009,02/17/2009,2:20Pm,Detroit,Michigan,Urban,Unknown,0,1,1,-83.1139767,42.383593
Westover High School,High School,2009,03/06/2009,10:00Pm,Fayetteville,North Carolina,Urban,Black,0,1,1,-78.9917,35.0843
Chimborazo Elementary School,Elementary School,2009,05/13/2009,7:40Pm,Richmond,Virginia,Urban,Black,1,0,1,-77.413,37.5302
Leestown Middle School,Middle School,2009,06/09/2009,8:02Am,Lexington,Kentucky,Urban,Black,1,0,1,-84.5348,38.0705
Aplington-Parkersburg High School,High School,2009,06/24/2009,8:00Am,Parkersburg,Iowa,Rural,White,1,0,1,-92.8847,42.5803
Mattituck High School,High School,2009,10/08/2009,1:50Pm,Mattituck,New York,Suburbtown,White,0,1,1,-72.529205,40.996241
Wilson High School,High School,2009,10/30/2009,10:00Pm,Long Beach,California,Urban,Hisp,1,2,3,-118.141537,33.778933
Brockton High School,High School,2009,12/02/2009,4:48Pm,Brockton,Massachusetts,Suburbtown,Black,0,1,1,-71.0436,42.0672
Booker T. Washington High School,High School,2009,12/11/2009,8:20Am,Shreveport,Louisiana,Urban,Black,0,1,1,-93.77398,32.503605
Livingston High School,High School,2010,01/20/2010,3:00Pm,Livingston,Alabama,Rural,Black,1,0,1,-88.1881261,32.5866695
Discovery Middle School,Middle School,2010,02/05/2010,1:45Pm,Madison,Alabama,Suburbtown,White,1,0,1,-86.741148,34.740322
Inskip Elementary School,Elementary School,2010,02/10/2010,1:00Pm,Knoxville,Tennessee,Urban,White,0,2,2,-83.959204,36.011183
Deer Creek Middle School,Elementary School,2010,02/23/2010,3:00Pm,Littleton,Colorado,Suburbtown,White,0,2,2,-105.102,39.5869
Birney Elementary School,Elementary School,2010,02/26/2010,7:30Am,Tacoma,Washington,Urban,White,1,0,1,-122.451219,47.187336
South Gate High School,High School,2010,05/18/2010,7:50Am,South Gate,California,Suburbtown,Hisp,0,1,1,-118.209757,33.954604
Alisal High School,High School,2010,10/01/2010,8:00Am,Salinas,California,Urban,Hisp,1,0,1,-121.595961,36.686184
Kelly Elementary School,Elementary School,2010,10/08/2010,12:00Pm,Carlsbad,California,Urban,White,0,2,2,-117.311227,33.14836
Millard South High School,High School,2011,01/05/2011,12:50Pm,Omaha,Nebraska,Urban,White,1,1,2,-96.146049,41.203481
Gardena High School,High School,2011,01/18/2011,10:40Am,Gardena,California,Urban,Hisp,0,2,2,-118.296334,33.866372
Louisiana Schnell Elementary School,Elementary School,2011,02/02/2011,10:40Am,Placerville,California,Suburbtown,White,1,0,1,-120.779419,38.735106
Martinsville West Middle School,Middle School,2011,03/25/2011,7:00Am,Martinsville,Indiana,Suburbtown,White,0,1,1,-86.429335,39.4191001
Worthing High School,High School,2011,03/31/2011,6:30Pm,Houston,Texas,Urban,Black,1,5,6,-95.368037,29.65721
Sheeler Charter High School,High School,2011,04/13/2011,12:00Pm,Apopka,Florida,Suburbtown,Black,0,1,1,-81.494124,28.673157
Ross Elementary School,Elementary School,2011,04/19/2011,10:35Am,Houston,Texas,Urban,Black,0,2,2,-95.341835,29.800326
Highlands Intermediate School,Middle School,2011,05/23/2011,6:30Am,Pearl City,Hawaii,Suburbtown,Asian,0,1,1,-157.961977,21.400303
Horizon Elementary School,Elementary School,2011,05/27/2011,6:30Pm,Everett,Washington,Urban,Hisp,0,1,1,-122.236522,47.921823
Chandler Park Academy,High School,2011,08/26/2011,Unknown,Harper Woods,Michigan,Suburbtown,Black,0,1,1,-82.943715,42.445366
Cape Fear High School,High School,2011,10/24/2011,1:00Pm,Fayetteville,North Carolina,Rural,White,0,1,1,-78.762384,35.034044
Harwell Middle School,Middle School,2011,12/09/2011,4:45Pm,Edinburg,Texas,Rural,Hisp,0,2,2,-98.08764,26.38677
North Forest High School,High School,2012,01/10/2012,12:30Pm,Houston,Texas,Urban,Black,0,1,1,-95.26259,29.868788
Armin Jahr Elementary,Elementary School,2012,02/22/2012,1:30Pm,Bremerton,Washington,Urban,White,0,1,1,-122.63622,47.593761
Chardon High School,High School,2012,02/27/2012,7:30Am,Chardon,Ohio,Suburbtown,White,3,3,6,-81.199958,41.591297
Episcopal School Of Jacksonville,High School,2012,03/06/2012,1:30Pm,Jacksonville,Florida,Urban,White,1,0,1,-81.624244,30.3101978
Mary Scroggs Elementary School,Elementary School,2012,05/25/2012,2:00Pm,Chapel Hill,North Carolina,Urban,White,1,0,1,-79.068506,35.879122
Perry Hall High School,High School,2012,08/27/2012,10:45Am,Baltimore,Maryland,Suburbtown,White,0,1,1,-76.466091,39.39186
Sandy Hook Elementary,Elementary School,2012,12/14/2012,9:30Am,Newtown,Connecticut,Suburbtown,White,26,2,28,-73.277751,41.41978
Taft High School,High School,2013,01/10/2013,9:00Am,Taft,California,Suburbtown,White,0,2,2,-119.460383,35.146256
Price Middle School,Middle School,2013,01/31/2013,1:50Pm,Atlanta,Georgia,Urban,Black,0,1,1,-84.387442,33.708772
Hillside Elementary School,Elementary School,2013,02/13/2013,8:45Pm,San Leandro,California,Suburbtown,Hisp,1,0,1,-122.116352,37.702038
Redland Middle School,Middle School,2013,05/24/2013,Unknown,Homestead,Florida,Rural,Hisp,0,1,1,-80.453001,25.5369
Alexander W. Dreyfoos School Of The Arts,High School,2013,06/20/2013,Unknown,West Palm Beach,Florida,Urban,White,2,0,2,-80.059801,26.70861
North Panola High,High School,2013,08/23/2013,10:30Pm,Sardis,Mississippi,Rural,Black,1,0,1,-89.9247,34.4429
Agape Christian Academy,Prek-12,2013,10/04/2013,2:00Pm,Pine Hills,Florida,Suburbtown,Black,0,2,2,-81.477878,28.5756506
Sparks Middle School,Middle School,2013,10/21/2013,7:00Am,Sparks,Nevada,Suburbtown,Hisp,1,2,3,-119.7694,39.5517
Stephenson High School,High School,2013,11/03/2013,Unknown,Stone Mountain,Georgia,Suburbtown,Black,0,1,1,-84.1246,33.7736
West Orange High School,High School,2013,12/04/2013,1:15Pm,Winter Garden,Florida,Suburbtown,White,0,1,1,-81.5673,28.5428
Arapahoe High School,High School,2013,12/13/2013,12:33Pm,Centennial,Colorado,Suburbtown,White,1,0,1,-104.9628,39.5817
Edison High School,High School,2013,12/19/2013,7:00Pm,Fresno,California,Urban,Hisp,0,1,1,-119.8058,36.7199
Liberty Technology Magnet High School,High School,2014,01/09/2014,2:20Pm,Jackson,Tennessee,Rural,Black,0,1,1,-88.7593,35.675
Berrendo Middle School,Middle School,2014,01/14/2014,8:11Am,Roswell,New Mexico,Rural,White,0,2,2,-104.5115,33.4736
Valley Charter High School,High School,2014,01/17/2014,3:30Pm,Philadelphia,Pennsylvania,Urban,Black,0,2,2,-75.1446,40.0331
North High School,High School,2014,01/31/2014,10:51Pm,Des Moines,Iowa,Urban,White,0,1,1,-93.6223,41.6177
Salisbury High School,High School,2014,02/10/2014,3:00Pm,Salisbury,North Carolina,Suburbtown,Black,0,1,1,-80.4849,35.6648
Raytown Success Academy,K-12,2014,02/20/2014,10:30Am,Raytown,Missouri,Urban,Unknown,1,0,1,-94.5688,39.094
Madison Parish High School,High School,2014,03/07/2014,11:15Pm,Tallulah,Louisiana,Suburbtown,Black,0,1,1,-91.1992,32.4157
East English Village Preparatory Academy,High School,2014,04/11/2014,9:30Pm,Detroit,Michigan,Urban,Black,1,0,1,-82.9296,42.4092
St. Mary Catholic School,Prek-8,2014,04/21/2014,4:30Pm,Griffith,Indiana,Suburbtown,Hisp,1,0,1,-87.42937,41.5306881
Paul Robeson High School,High School,2014,04/24/2014,3:53Pm,Chicago,Illinois,Urban,Black,0,1,1,-87.6366,41.77
Horizon Elementary School,Elementary School,2014,05/03/2014,6:30Pm,Everett,Washington,Urban,Hisp,0,1,1,-122.237,47.9207
Clarke Street Elementary School,Elementary School,2014,05/21/2014,7:00Pm,Milwaukee,Wisconsin,Urban,Black,1,0,1,-87.9493,43.0663
Reynolds High School,High School,2014,06/10/2014,8:00Am,Troutdale,Oregon,Suburbtown,White,1,1,2,-122.4026,45.5285
Kelly High School,High School,2014,06/23/2014,8:15Pm,Benton,Missouri,Rural,White,1,0,1,-89.4719,37.0444
Stellar Leadership Academy,High School,2014,09/09/2014,12:51Pm,Miami,Florida,Suburbtown,Black,0,1,1,-80.243461,25.84814
Fern Creek High School,High School,2014,09/30/2014,1:00Pm,Louisville,Kentucky,Urban,White,0,1,1,-85.592357,38.156605
Albemarle High School,High School,2014,09/30/2014,7:40Am,Albermarle,North Carolina,Suburbtown,White,0,1,1,-80.193152,35.371268
Langston Hughes High School,High School,2014,10/03/2014,10:00Pm,Fairburn,Georgia,Rural,Black,1,0,1,-84.635695,33.623799
Marysville-Pilchuck High School,High School,2014,10/24/2014,10:40Am,Marysville,Washington,Suburbtown,White,4,1,5,-122.154021,48.09582
Miami Carol City High School,High School,2014,11/20/2014,4:00Pm,Miami Gardens,Florida,Suburbtown,Black,1,1,2,-80.257121,25.94237
Kinston High School,High School,2015,01/15/2015,2:45Pm,Kinston,North Carolina,Suburbtown,Black,0,1,1,-77.575265,35.295853
Wisconsin Lutheran High School,High School,2015,01/15/2015,7:30Pm,Milwaukee,Wisconsin,Urban,White,0,2,2,-88.017855,43.0343762
Williamson High School,High School,2015,01/16/2015,Unknown,Mobile,Alabama,Urban,Black,0,1,1,-88.073954,30.66984
Vanguard High School,High School,2015,01/16/2015,9:35Pm,Ocala,Florida,Urban,White,0,1,1,-82.136578,29.216463
Norris Middle School,Middle School,2015,01/27/2015,9:00Am,Omaha,Nebraska,Urban,Hisp,0,1,1,-95.979673,41.236217
Frederick High School,High School,2015,02/04/2015,10:15Pm,Frederick,Maryland,Urban,White,0,2,2,-77.426081,39.416659
Tenaya Middle School,Middle School,2015,02/15/2015,6:55Pm,Merced,California,Urban,Hisp,1,0,1,-120.492768,37.292219
Judson High School,High School,2015,03/05/2015,10:00Am,Converse,Texas,Suburbtown,Hisp,0,3,3,-98.306675,29.509676
Duval County School Bus,K-12,2015,05/14/2015,4:20Pm,Jacksonville,Florida,Unknown,Unknown,0,2,2,Unknown,Unknown
Elolf Elementary School,Elementary School,2015,07/24/2015,1:00Pm,Converse,Texas,Suburbtown,Hisp,1,0,1,-98.317584,29.486244
W.S. Hornsby K-8 School,Elementary School,2015,08/25/2015,10:45Am,Augusta,Georgia,Urban,Black,0,1,1,-81.937661,33.46025
