School,Type,Year,Date,Time,City,State,Race,Killed,Injured,Victims,Longitude,Latitude,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1
Columbine High School,High School,1999,04/20/1999,11:19 Am,Littleton,Colorado,W,13,21,34,-105.075,39.60391,"12-Gauge Savage-Springfield 67H Pump-Action Shotgun, Hi-Point 995 Carbine 9 Mm Carbine, 9_19Mm Intratec Tec-9 Semi-Automatic Handgun, 12-Gauge Stevens 311D Double-Barreled Sawed-Off Shotgun",Purchased From Friends,18.0,M,Student
Scotlandville Middle School,Middle School,1999,04/22/1999,12:30 Pm,Baton Rouge,Louisiana,Unknown,0,1,1,-91.169966,30.529958,.22 Caliber Pistol,Unknown,14.0,M,Former Student (Expelled)
Heritage High School,High School,1999,05/20/1999,8:03 Am,Conyers,Georgia,W,0,6,6,-84.04796,33.626922,".22 Caliber Rifle, 357-Caliber Magnum Handgun",Unknown,15.0,M,Student
John Bartram High School,High School,1999,10/04/1999,10:00 Am,Philadelphia,Pennsylvania,Unknown,0,1,1,-75.234108,39.921509,Rg .25-Caliber Pistol,Purchased From Friend,17.0,M,Student
Dorchester High School,High School,1999,11/03/1999,7:40 Am,Boston,Massachusetts,Unknown,0,1,1,-71.075901,42.285268,Unknown,Unknown,Unknown,M,Unknown
Deming Middle School,Middle School,1999,11/19/1999,12:45 Pm,Deming,New Mexico,H,1,0,1,-107.762986,32.261547,.22-Caliber Colt Revolver,Home,12.0,M,Student
Fort Gibson Middle School,Middle School,1999,12/06/1999,7:45 Am,Fort Gibson,Oklahoma,Ai,0,5,5,-95.241921,35.795556,Taurus 9Mm Pistol,Father,13.0,M,Student
Ridgewood High School,High School,2000,01/19/2000,3:00 Pm,New Port Richey,Florida,W,1,0,1,-82.687231,28.273253,.22-Caliber Magnum Handgun,Stolen,16.0,M,Student
Alicia Reyes Elementary School,Elementary School,2000,01/26/2000,8:34 Am,Merced,California,Unknown,0,0,0,-120.494808,37.286387,.22 Caliber Revolver,Unknown,13.0,M,No Connection
Duke Ellington Elementary School,Elementary School,2000,02/14/2000,Unknown,Chicago,Illinois,Unknown,0,1,1,-87.766042,41.885272,Unknown,Unknown,11.0,M,Student
Horn Lake High School,High School,2000,02/22/2000,Unknown,Horn Lake,Mississippi,Unknown,0,0,0,-90.035423,34.948919,Handgun,Unknown,Unknown,M,Unknown
Tecumseh High School,High School,2000,02/24/2000,9:00 Am,Tecumseh,Oklahoma,Unknown,0,0,0,-96.943184,35.255494,Unknown,Unknown,19.0,M,Former Boyfriend Of Student
Buell Elementary School,Elementary School,2000,02/29/2000,10:00 Am,Mount Morris Township,Michigan,B,1,0,1,-83.706037,43.079604,.32-Caliber Semiautomatic Handgun,"Uncle'S Friend, Found In Open Shoebox",6.0,M,Student
Hugo High School,High School,2000,04/06/2000,12:00 Pm,Hugo,Oklahoma,Unknown,0,1,1,-95.511435,34.010732,Small-Caliber Pistol,Legally Purchased By Shooter,33.0,F,Parent Of Student
Carmichael Elementary School,Elementary School,2000,05/10/2000,1:30 Pm,Sierra Vista,Arizona,Unknown,1,0,1,-110.29924,31.56269,Unknown,Unknown,39.0,M,Spouse Of Teacher
Lake Worth Middle School,Middle School,2000,05/26/2000,3:00 Pm,Lake Worth,Florida,B,1,0,1,-80.085968,26.451351,.25-Caliber Handgun,Grandfather,13.0,M,Student
Dimmitt Middle School,Middle School,2000,07/17/2000,10:30 Am,Renton,Washington,W,0,0,0,-122.233115,47.493015,.22-Caliber Handgun,Grandparents,13.0,M,Student In Summer School
Mount Healthy North Junior High,Middle School,2000,09/18/2000,Unknown,Mount Healthy,Ohio,Unknown,0,0,0,-84.555558,39.251506,.380-Caliber Semiautomatic Handgun,Relatives,14.0,M,Student
Carter G. Woodson Middle School,Middle School,2000,09/26/2000,12:00 Pm,New Orleans,Louisiana,Unknown,0,1,1,-90.090046,29.939676,.38-Caliber Revolver,Unknown,13.0,M,Student
Hueneme High School,High School,2001,01/10/2001,12:50 Pm,Oxnard,California,H,0,0,0,-119.1822,34.160149,Handgun,Unknown,17.0,M,Not A Student But Often Hung Around The School
Lake Clifton Eastern High School,High School,2001,01/17/2001,8:45 Am,Baltimore,Maryland,Unknown,1,0,1,-76.590038,39.316116,.32-Caliber Handgun,Unknown,19.0,M,None
Pearl C. Anderson Middle School,Middle School,2001,02/06/2001,Unknown,Dallas,Texas,Unknown,0,1,1,-96.744389,32.759323,Small Revolver,Unknown,14.0,M,Student (Suspended)
Santana High School,High School,2001,03/05/2001,9:20 Am,Santee,California,W,2,13,15,-116.971045,32.85756,.22-Caliber Revolver,Father,15.0,M,Student
Bishop Neumann Junior-Senior High,nan,2001,03/07/2001,12:00 Pm,Williamsport,Pennsylvania,W,0,1,1,-76.996564,41.249266,.22-Caliber Revolver,Father,14.0,F,Student
Granite Hills High School,High School,2001,03/22/2001,1:00 Pm,El Cajon,California,Unknown,0,5,5,-116.916889,32.800101,Mossberg Pump-Action 12-Gauge Shotgun,Unknown,18.0,M,Student
