uid,nces_school_id,school,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude,School.1,Year.1,Date.1,Time.1,City.1,State.1,Killed.1,Injured.1,Longitude.1,Latitude.1,School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude
1,080480000707,Columbine High School,804800.0,Jefferson County R-1,4/20/1999,1998-1999,1999,11:19 AM,Tuesday,Littleton,Colorado,public,1965,13,21,34,indiscriminate,18.0,m,w,student,1.0,suicide,17.0,m,w,student,1.0,suicide,1783.0,16.0,112,42.0,12.0,,,1,"12-gauge Savage-Springfield 67H pump-action shotgun, Hi-Point 995 Carbine 9 mm carbine, 9_19mm Intratec TEC-9 semi-automatic handgun, 12-gauge Stevens 311D double-barreled sawed-off shotgun",purchased from friends,39.60391,-105.075,89.6,9,12,41,Jefferson County,8,8059,21.0,Columbine High School,1999,4/20/1999,11:19 AM,Littleton,Colorado,13,21,-105.075,39.60391,Columbine High School,1999,4/20/1999,11:19 AM,Littleton,Colorado,13,21,-105.075,39.60391,Columbine High School,1999,4/20/1999,11:19 AM,Littleton,Colorado,13,21,-105.075,39.60391
2,220054000422,Scotlandville Middle School,2200540.0,East Baton Rouge Parish School Board,4/22/1999,1998-1999,1999,12:30 PM,Thursday,Baton Rouge,Louisiana,public,588,0,1,1,targeted,14.0,m,,former student (expelled),0.0,,,,,,,,5.0,583.0,0,0.0,0.0,,,0,.22 caliber pistol,,30.529958,-91.169966,39.0,6,8,495,East Baton Rouge Parish,22,22033,12.0,Scotlandville Middle School,1999,4/22/1999,12:30 PM,Baton Rouge,Louisiana,0,1,-91.169966,30.529958,Scotlandville Middle School,1999,4/22/1999,12:30 PM,Baton Rouge,Louisiana,0,1,-91.169966,30.529958,Scotlandville Middle School,1999,4/22/1999,12:30 PM,Baton Rouge,Louisiana,0,1,-91.169966,30.529958
3,130441001591,Heritage High School,1304410.0,Rockdale County,5/20/1999,1998-1999,1999,8:03 AM,Thursday,Conyers,Georgia,public,1369,0,6,6,indiscriminate,15.0,m,w,student,0.0,,,,,,,,1189.0,136.0,28,15.0,1.0,,,1,".22 caliber rifle, 357-caliber Magnum handgun",,33.626922,-84.04796,84.0,9,12,125,Rockdale County,13,13247,21.0,Heritage High School,1999,5/20/1999,8:03 AM,Conyers,Georgia,0,6,-84.04796,33.626922,Heritage High School,1999,5/20/1999,8:03 AM,Conyers,Georgia,0,6,-84.04796,33.626922,Heritage High School,1999,5/20/1999,8:03 AM,Conyers,Georgia,0,6,-84.04796,33.626922
4,421899003847,John Bartram High School,4218990.0,Philadelphia City SD,10/4/1999,1999-2000,1999,10:00 AM,Monday,Philadelphia,Pennsylvania,public,3147,0,1,1,targeted,17.0,m,,student,0.0,,,,,,,,209.0,2736.0,27,170.0,5.0,,,1,RG .25-caliber pistol,purchased from friend,39.921509,-75.234108,41.0,9,12,2007,Philadelphia County,42,42101,11.0,John Bartram High School,1999,10/4/1999,10:00 AM,Philadelphia,Pennsylvania,0,1,-75.234108,39.921509,John Bartram High School,1999,10/4/1999,10:00 AM,Philadelphia,Pennsylvania,0,1,-75.234108,39.921509,John Bartram High School,1999,10/4/1999,10:00 AM,Philadelphia,Pennsylvania,0,1,-75.234108,39.921509
5,250279000225,Dorchester High School,2502790.0,Boston,11/3/1999,1999-2000,1999,7:40 AM,Wednesday,Boston,Massachusetts,public,1116,0,1,1,targeted,,m,,,0.0,,,,,,,,40.0,755.0,287,29.0,5.0,,,0,,,42.285268,-71.075901,,9,12,543,Suffolk County,25,25025,11.0,Dorchester High School,1999,11/3/1999,7:40 AM,Boston,Massachusetts,0,1,-71.075901,42.285268,Dorchester High School,1999,11/3/1999,7:40 AM,Boston,Massachusetts,0,1,-71.075901,42.285268,Dorchester High School,1999,11/3/1999,7:40 AM,Boston,Massachusetts,0,1,-71.075901,42.285268
6,350069000240,Deming Middle School,3500690.0,Deming Public Schools,11/19/1999,1999-2000,1999,12:45 PM,Friday,Deming,New Mexico,public,753,1,0,1,accidental or targeted,12.0,m,h,student,0.0,,,,,,,,160.0,6.0,583,2.0,2.0,,,0,.22-caliber Colt revolver,home,32.261547,-107.762986,44.0,6,7,502,Luna County,35,35029,33.0,Deming Middle School,1999,11/19/1999,12:45 PM,Deming,New Mexico,1,0,-107.762986,32.261547,Deming Middle School,1999,11/19/1999,12:45 PM,Deming,New Mexico,1,0,-107.762986,32.261547,Deming Middle School,1999,11/19/1999,12:45 PM,Deming,New Mexico,1,0,-107.762986,32.261547
7,401197000559,Fort Gibson Middle School,4011970.0,Fort Gibson,12/6/1999,1999-2000,1999,7:45 AM,Monday,Fort Gibson,Oklahoma,public,407,0,5,5,indiscriminate,13.0,m,ai,student,0.0,,,,,,,,239.0,3.0,12,0.0,153.0,,,0,Taurus 9mm pistol,father,35.795556,-95.241921,25.4,6,8,146,Muskogee County,40,40101,32.0,Fort Gibson Middle School,1999,12/6/1999,7:45 AM,Fort Gibson,Oklahoma,0,5,-95.241921,35.795556,Fort Gibson Middle School,1999,12/6/1999,7:45 AM,Fort Gibson,Oklahoma,0,5,-95.241921,35.795556,Fort Gibson Middle School,1999,12/6/1999,7:45 AM,Fort Gibson,Oklahoma,0,5,-95.241921,35.795556
8,120153001590,Ridgewood High School,1201530.0,Pasco,1/19/2000,1999-2000,2000,3:00 PM,Wednesday,New Port Richey,Florida,public,1852,1,0,1,accidental,16.0,m,w,student,0.0,,,,,,,,1697.0,28.0,96,26.0,5.0,,,1,.22-caliber Magnum handgun,stolen,28.273253,-82.687231,85.0,9,12,654,Pasco County,12,12101,21.0,Ridgewood High School,2000,1/19/2000,3:00 PM,New Port Richey,Florida,1,0,-82.687231,28.273253,Ridgewood High School,2000,1/19/2000,3:00 PM,New Port Richey,Florida,1,0,-82.687231,28.273253,Ridgewood High School,2000,1/19/2000,3:00 PM,New Port Richey,Florida,1,0,-82.687231,28.273253
9,062460009581,Alicia Reyes Elementary School,624600.0,Merced City Elementary,1/26/2000,1999-2000,2000,8:34 AM,Wednesday,Merced,California,public,734,0,0,0,targeted,13.0,m,,no connection,0.0,,,,,,,,82.0,40.0,389,222.0,1.0,,,0,.22 caliber revolver,,37.286387,-120.494808,36.0,KG,5,643,Merced County,6,6047,13.0,Alicia Reyes Elementary School,2000,1/26/2000,8:34 AM,Merced,California,0,0,-120.494808,37.286387,Alicia Reyes Elementary School,2000,1/26/2000,8:34 AM,Merced,California,0,0,-120.494808,37.286387,Alicia Reyes Elementary School,2000,1/26/2000,8:34 AM,Merced,California,0,0,-120.494808,37.286387
10,170993000748,Duke Ellington Elementary School,1709930.0,City of Chicago School District 299,2/14/2000,1999-2000,2000,,Monday,Chicago,Illinois,public,736,0,1,1,accidental,11.0,m,,student,0.0,,,,,,,,0.0,736.0,0,0.0,0.0,,,0,,,41.885272,-87.766042,37.0,PK,6,,Cook County,17,17031,11.0,Duke Ellington Elementary School,2000,2/14/2000,,Chicago,Illinois,0,1,-87.766042,41.885272,Duke Ellington Elementary School,2000,2/14/2000,,Chicago,Illinois,0,1,-87.766042,41.885272,Duke Ellington Elementary School,2000,2/14/2000,,Chicago,Illinois,0,1,-87.766042,41.885272
