School,Type,Year,Date,Time,City,State,City Type,Race,Killed,Injured,Victims,Longitude,Latitude
Hine Junior High School,Middle School,1970,01/05/1970,Unknown,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Sousa Junior High,Middle School,1970,01/05/1970,Unknown,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
Unnamed High School,High School,1970,01/05/1970,Unknown,Washington,DC,,Unknown,Unknown,Unknown,Unknown,,
John F. Kennedy High School,High School,1970,02/06/1970,Unknown,Cleveland,Ohio,,Unknown,Unknown,Unknown,Unknown,,
David Starr Jordan High School,High School,1970,03/23/1970,Unknown,Long Beach,California,,Unknown,Unknown,Unknown,Unknown,,
Pine Bluff Coleman High School,High School,1970,04/15/1970,12:00 PM,Pine Bluff,Arkansas,,Unknown,Unknown,Unknown,Unknown,,
Pierre S. Dupont High School,High School,1970,04/22/1970,9:00 AM,Wilmington,Delaware,,Unknown,Unknown,Unknown,Unknown,,
Carver High School,High School,1970,05/08/1970,10:00 AM,Delray Beach,Florida,,Unknown,Unknown,Unknown,Unknown,,
Ben Lomond High School,High School,1970,05/15/1970,Unknown,Ogden,Utah,,Unknown,Unknown,Unknown,Unknown,,
Riverside High School,High School,1970,08/28/1970,12:00 AM,El Paso,Texas,,Unknown,Unknown,Unknown,Unknown,,
Allapatah Elementary School,Elementary School,1970,08/31/1970,Unknown,Miami,Florida,,Unknown,Unknown,Unknown,Unknown,,
Hamilton High School,High School,1970,09/14/1970,Unknown,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Meridian High School,High School,1970,09/24/1970,Unknown,Meridian ,Idaho,,Unknown,Unknown,Unknown,Unknown,,
Central High School,High School,1970,09/28/1970,Unknown,Davenport,Iowa,,Unknown,Unknown,Unknown,Unknown,,
Pontiac Central High School,High School,1970,10/05/1970,Unknown,Detroit,Michigan,,Unknown,Unknown,Unknown,Unknown,,
Booker T. Washington High School,High School,1970,10/19/1970,Unknown,Memphis,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
Washington Junior High School,Middle School,1970,10/20/1970,12:00 PM,Nashville,Tennessee,,Unknown,Unknown,Unknown,Unknown,,
