CDCODE,year,school,city,state,address,urbanrural,race,killed,injured,victims,date,type,NCESSCH,time,Latitude,Longitude
1000.0,2009,William Penn High School,New Castle,Delaware,713 E Basin Rd,suburbtown,BLACK,0,1,1,8-Jan-09,High School,100023000209.0,8:30PM,39.6620572,-75.5663132
1701.0,2009,Dunbar Vocational Career Academy,Chicago,Illinois,3000 S King Dr,urban,BLACK,0,5,5,9-Jan-09,High School,170993000588.0,8:00PM,41.8755616,-87.6244212
1712.0,2009,Cahokia High School,Cahokia,Illinois,800 Range Ln,suburbtown,BLACK,1,0,1,23-Jan-09,High School,170804000409.0,7:20PM,38.566160499999995,-90.17942355243014
3713.0,2009,Zebulon Middle School,Zebulon,North Carolina,Halifax Road and New Oak Street,suburbtown,BLACK,0,1,1,11-Feb-09,Middle School,370472001913.0,6:00AM,35.8221621,-78.3132126
,2009,Central High School,Detroit,Michigan,2425 Tuxedo St,urban,,0,1,1,17-Feb-09,High School,260110304670.0,2:20PM,42.3315509,-83.0466403
3702.0,2009,Westover High School,Fayetteville,North Carolina,277 Bonanza Dr,urban,BLACK,0,1,1,6-Mar-09,High School,370001100445.0,10:00PM,35.0525759,-78.878292
5103.0,2009,Chimborazo Elementary School,Richmond,Virginia,3000 East Marshall Street,urban,BLACK,1,0,1,13-May-09,Elementary School,510324001359.0,7:40PM,37.5385087,-77.43428
2106.0,2009,Leestown Middle School,Lexington,Kentucky,2010 Leestown Rd,urban,BLACK,1,0,1,9-Jun-09,Middle School,210186000369.0,8:02AM,38.0464066,-84.4970393
1901.0,2009,Aplington-Parkersburg High School,Parkersburg,Iowa,610 N Johnson St,rural,WHITE,1,0,1,24-Jun-09,High School,190375001337.0,8:00AM,42.5755594,-92.7870402
3601.0,2009,Mattituck High School,Mattituck,New York,15125 Main Rd,suburbtown,WHITE,0,1,1,8-Oct-09,High School,360002101704.0,1:50PM,40.9912115,-72.5342547
637.0,2009,Wilson High School,Long Beach,California,4400 E 10th St,urban,HISP,1,2,3,30-Oct-09,High School,62250002769.0,10:00PM,33.7690164,-118.191604
2509.0,2009,Brockton High School,Brockton,Massachusetts,470 Forest Ave,suburbtown,BLACK,0,1,1,2-Dec-09,High School,250309000385.0,4:48PM,42.0834335,-71.0183787
2204.0,2009,Booker T. Washington High School,Shreveport,Louisiana,2104 Milam St,urban,BLACK,0,1,1,11-Dec-09,High School,220030000208.0,8:20AM,32.5135356,-93.7477839
,2010,Livingston High School,Livingston,Alabama,108 North Street,rural,BLACK,1,0,1,20-Jan-10,High School,,3:00PM,32.5841595,-88.1872828
105.0,2010,Discovery Middle School,Madison,Alabama,1304 Hughes Rd,suburbtown,WHITE,1,0,1,5-Feb-10,Middle School,10000800495.0,1:45PM,34.6928726,-86.7511427
