School,Year,Date,Time,City,State,Killed,Injured,Latitude,Longitude
Columbine High School,1999,4/20/1999,11:19 AM,Littleton,Colorado,13,21,39.613321,-105.016649
Scotlandville Middle School,1999,4/22/1999,12:30 PM,Baton Rouge,Louisiana,0,1,30.4494155,-91.1869659
Heritage High School,1999,5/20/1999,8:03 AM,Conyers,Georgia,0,6,33.6676103,-84.0176904
John Bartram High School,1999,10/4/1999,10:00 AM,Philadelphia,Pennsylvania,0,1,39.9527237,-75.1635262
Dorchester High School,1999,11/3/1999,7:40 AM,Boston,Massachusetts,0,1,42.3554334,-71.060511
Deming Middle School,1999,11/19/1999,12:45 PM,Deming,New Mexico,1,0,32.2627416,-107.7581979
Fort Gibson Middle School,1999,12/6/1999,7:45 AM,Fort Gibson,Oklahoma,0,5,35.7975463,-95.2503409
Ridgewood High School,2000,1/19/2000,3:00 PM,New Port Richey,Florida,1,0,28.2441768,-82.7192671
Alicia Reyes Elementary School,2000,1/26/2000,8:34 AM,Merced,California,0,0,37.3029568,-120.4843269
Duke Ellington Elementary School,2000,2/14/2000,,Chicago,Illinois,0,1,41.8755616,-87.6244212
Horn Lake High School,2000,2/22/2000,,Horn Lake,Mississippi,0,0,34.9553719,-90.0348139
Tecumseh High School,2000,2/24/2000,9:00 AM,Tecumseh,Oklahoma,0,0,35.2578498,-96.9366888
Buell Elementary School,2000,2/29/2000,10:00 AM,Mount Morris Township,Michigan,1,0,43.08973295,-83.75382951099074
Hugo High School,2000,4/6/2000,12:00 PM,Hugo,Oklahoma,0,1,34.0106208,-95.513122
Carmichael Elementary School,2000,5/10/2000,1:30 PM,Sierra Vista,Arizona,1,0,31.5545973,-110.2997756
Lake Worth Middle School,2000,5/26/2000,3:00 PM,Lake Worth,Florida,1,0,26.6159698,-80.0569927
Dimmitt Middle School,2000,7/17/2000,10:30 AM,Renton,Washington,0,0,47.4799078,-122.2034496
Mount Healthy North Junior High,2000,9/18/2000,,Mount Healthy,Ohio,0,0,39.2336687,-84.5457778
Carter G. Woodson Middle School,2000,9/26/2000,12:00 PM,New Orleans,Louisiana,0,1,29.9759983,-90.0782127
Hueneme High School,2001,1/10/2001,12:50 PM,Oxnard,California,0,0,34.1976308,-119.180381
Lake Clifton Eastern High School,2001,1/17/2001,8:45 AM,Baltimore,Maryland,1,0,39.2908816,-76.610759
Pearl C. Anderson Middle School,2001,2/6/2001,,Dallas,Texas,0,1,32.7762719,-96.7968559
Santana High School,2001,3/5/2001,9:20 AM,Santee,California,2,13,32.8383828,-116.9739167
Bishop Neumann Junior-Senior High,2001,3/7/2001,12:00 PM,Williamsport,Pennsylvania,0,1,41.2493292,-77.0027671
Granite Hills High School,2001,3/22/2001,1:00 PM,El Cajon,California,0,5,32.7947731,-116.962526
Lew Wallace High School,2001,3/30/2001,8:15 AM,Gary,Indiana,1,0,41.6020962,-87.3370646
Monroe City Alternative Center,2001,4/20/2001,7:20 AM,Monroe,Louisiana,0,0,32.5102427,-92.1032411
Ennis High School,2001,5/15/2001,12:00 PM,Ennis,Texas,0,0,32.29586435,-96.58129445266832
Belmont High School,2001,7/30/2001,7:20 AM,Los Angeles,California,0,1,34.0536909,-118.242766
Latonia Elementary School,2001,9/12/2001,3:00 PM,Covington,Kentucky,1,0,39.0836224,-84.508371
Redondo Union High School,2001,10/26/2001,10:00 AM,Redondo Beach,California,0,1,33.8455911,-118.3886766
Caro Learning Center,2001,11/12/2001,2:40 PM,Caro,Michigan,0,0,43.491132,-83.396897
"Martin Luther King, Jr. High School",2002,1/15/2002,2:00 PM,New York City,New York,0,2,40.7127281,-74.0060152
Gardena High School,2002,2/6/2002,2:50 PM,Los Angeles,California,0,2,34.0536909,-118.242766
Benjamin Tasker Middle School,2002,10/7/2002,8:09 AM,Bowie,Maryland,0,1,38.9424464,-76.7301718
Lincoln High School,2002,10/29/2002,8:30 AM,Jersey City,New Jersey,0,1,40.7215682,-74.047455
St. James Catholic School,2002,11/7/2002,12:30 PM,Liberty,Missouri,1,1,39.246479,-94.419079
Mount Pleasant High School,2003,1/22/2003,,Providence,Rhode Island,0,0,41.8239891,-71.4128343
Ranum High School,2003,2/5/2003,8:40 AM,Westminster,Colorado,0,0,39.8366528,-105.0372046
Cardozo High School,2003,4/1/2003,12:15 PM,Washington,District of Columbia,0,1,38.8950368,-77.0365427
John McDonogh High School,2003,4/14/2003,10:30 AM,New Orleans,Louisiana,1,3,29.9759983,-90.0782127
Delhi Middle School,2003,4/15/2003,8:15 AM,Delhi,California,0,1,37.4321589,-120.778535
Red Lion Area Junior High School,2003,4/24/2003,7:30 AM,Red Lion,Pennsylvania,1,0,39.9009334,-76.6058001
Vicksburg High School,2003,9/10/2003,2:30 PM,Vicksburg,Mississippi,1,0,32.3528055,-90.8777342
Lewis and Clark High School,2003,9/22/2003,11:10 AM,Spokane,Washington,0,0,47.6571934,-117.42351
Rocori High School,2003,9/24/2003,11:38 AM,Cold Spring,Minnesota,2,0,45.4557973,-94.4288849
Burns Middle School,2003,9/25/2003,8:00 AM,Lawndale,North Carolina,0,0,35.4140187,-81.5631474
Rio Cazadero High School,2003,10/1/2003,9:00 AM,Sacramento,California,0,2,38.5810606,-121.493895
East Mecklenburg High School,2003,11/13/2003,11:45 AM,Charlotte,North Carolina,0,1,35.2272086,-80.8430827
Ballou High School,2004,2/2/2004,10:30 AM,Washington,District of Columbia,1,1,38.8950368,-77.0365427
Columbia High School,2004,2/9/2004,10:30 AM,East Greenbush,New York,0,1,42.5909135,-73.7017858
T.M. Peirce Elementary School,2004,2/11/2004,8:30 AM,Philadelphia,Pennsylvania,1,1,39.9527237,-75.1635262
Castlemont High School,2004,6/9/2004,12:22 PM,Oakland,California,0,2,37.8044557,-122.271356
Proviso East High School,2004,8/30/2004,2:30 PM,Maywood,Illinois,1,0,41.8789942,-87.8436412
Wirt High School,2004,9/15/2004,,Gary,Indiana,0,0,41.6020962,-87.3370646
Thurgood Marshall High School,2004,10/21/2004,4:00 PM,Baltimore,Maryland,0,2,39.2908816,-76.610759
Booker T. Washington High School,2004,11/12/2004,12:00 PM,New Orleans,Louisiana,0,1,29.9759983,-90.0782127
Emmanuel Christian Academy,2004,12/7/2004,3:00 PM,Jackson,Mississippi,0,1,32.2998686,-90.1830408
Woodruff High School,2005,1/26/2005,,Peoria,Illinois,0,0,40.6938609,-89.5891008
Bowen High School,2005,2/8/2005,2:32 PM,Chicago,Illinois,0,1,41.8755616,-87.6244212
Maplewood Comprehensive High School,2005,3/9/2005,2:00 PM,Nashville,Tennessee,0,1,36.1622767,-86.7742984
Red Lake High School,2005,3/21/2005,2:49 PM,Red Lake,Minnesota,7,7,47.8605178,-96.0988343
Canton High School,2005,4/7/2005,9:20 AM,Canton,Texas,0,1,32.555664,-95.8640507
Highland Elementary School,2005,5/17/2005,3:00 PM,Lower Allen Township,Pennsylvania,1,0,40.715934,-75.483051
Maury Middle School,2005,8/25/2005,9:30 AM,Jacksboro,Tennessee,0,1,36.3300793,-84.1838156
Sojourner Truth High School,2005,9/2/2005,12:50 PM,Jacksonville,Florida,0,1,30.3321838,-81.655651
Harlan Community Academy High School,2005,9/13/2005,2:20 PM,Chicago,Illinois,0,1,41.8755616,-87.6244212
Farmington High School,2005,10/11/2005,8:00 AM,Farmington,Missouri,0,0,37.7803037,-90.4226371
Saginaw High School,2005,10/20/2005,12:00 PM,Saginaw,Michigan,0,1,43.4200387,-83.9490365
Campbell County High School,2005,11/8/2005,2:00 PM,Jacksboro,Tennessee,1,2,36.3300793,-84.1838156
Central High School,2005,12/6/2005,1:30 PM,Detroit,Michigan,0,1,42.3315509,-83.0466403
Mary McLeod Bethune Academy,2006,1/11/2006,12:30 PM,Milwaukee,Wisconsin,0,1,43.0349931,-87.922497
Milwee Middle School,2006,1/13/2006,9:30 AM,Longwood,Florida,1,0,28.7008989,-81.3466055
Indian River High School,2006,1/18/2006,11:00 AM,Chesapeake,Virginia,0,0,36.7183708,-76.2466798
Will C. Wood High School,2006,1/23/2006,9:45 AM,Vacaville,California,0,1,38.3565773,-121.9877444
