School,Type,Date,City,State,Time,Latitude,Longitude
Hine Junior High School,High,1970-01-05,Washington,DC,,4.6529539,-74.0835643
Sousa Junior High,Junior High,1970-01-05,Washington,DC,,4.6529539,-74.0835643
Unnamed High School,High,1970-01-05,Washington,DC,,4.6529539,-74.0835643
John F. Kennedy High School,High,1970-02-06,Cleveland,OH,,41.4996574,-81.6936772
David Starr Jordan High School,High,1970-03-23,Long Beach,CA,,33.7690164,-118.191604
Pine Bluff Coleman High School,High,1970-04-15,Pine Bluff,AR,12:00 PM,34.2157064,-92.0140402
Pierre S. Dupont High School,High,1970-04-22,Wilmington,DE,9:00 AM,39.7459468,-75.546589
Carver High School,High,1970-05-08,Delray Beach,FL,10:00 AM,26.4614625,-80.0728201
Ben Lomond High School,High,1970-05-15,Ogden,UT,,41.2230048,-111.9738429
Riverside High School,High,1970-08-28,El Paso,TX,12:00 AM,31.7550511,-106.488234
Allapatah Elementary School,Elementary,1970-08-31,Miami,FL,,25.7741728,-80.19362
Hamilton High School,High,1970-09-14,Nashville,TN,,36.1622767,-86.7742984
Meridian High School,High,1970-09-24,Meridian ,ID,,43.6086295,-116.392326
Central High School,High,1970-09-28,Davenport,IA,,41.5235808,-90.5770967
Pontiac Central High School,High,1970-10-05,Detroit,MI,,42.3315509,-83.0466403
Booker T. Washington High School,High,1970-10-19,Memphis,TN,,35.1460249,-90.0517638
Washington Junior High School,Junior High,1970-10-20,Nashville,TN,12:00 PM,36.1622767,-86.7742984
Appleseed Junior High School,Junior High,1970-10-27,Mansfield,OH,8:30 AM,40.75839,-82.5154471
Harlan High School,High,1970-11-20,Chicago,IL,,41.8755616,-87.6244212
Xavier High School,High,1970-12-12,Appleton,WI,11:55 PM,44.2613967,-88.4069744
Morris E. Leeds Middle School,Middle,1971-02-02,Philadelphia,PA,,39.9527237,-75.1635262
John F. Kennedy High School,High,1971-02-05,Willingboro,PA,,40.02789,-74.86905
Oak Cliff High School,High,1971-02-10,Dallas,TX,,32.7762719,-96.7968559
Franklin D. Roosevelt Junior High School,Junior High,1971-02-25,Cleveland,OH,,41.4996574,-81.6936772
Roskruge Junior High School,Junior High,1971-03-09,Tucson,AZ,,32.2228765,-110.974847
William Penn High School,High,1971-04-05,Harrisburg,PA,,40.2663107,-76.8861122
Benton Harbor High School,High,1971-05-27,Saint Joseph,MI,,42.1095808,-86.4799538
East Aurora Middle School,Middle,1971-06-02,East Aurora,NY,,42.7689141,-78.6177611
Monessen High School,High,1971-08-20,Monessen,PA,,40.1620497,-79.8876347
Dunbar High School,High,1971-09-09,Lubbock,TX,,33.5855677,-101.8470215
McKinley Vocational High School,High,1971-09-24,Buffalo,NY,,42.8867166,-78.8783922
Central High School,High,1971-09-28,Minneapolis,MN,12:00 PM,44.9772995,-93.2654692
Peabody Junior High School,Junior High,1971-09-29,Petersburg,VA,,38.90925365,-78.0523229942713
City College High School,High,1971-10-28,Baltimore,MD,11:50 AM,39.2908816,-76.610759
Forest Park High School,High,1971-10-29,Baltimore,MD,11:55 AM,39.2908816,-76.610759
Frederick Douglass High School,High,1971-10-29,Baltimore,MD,3:00 PM,39.2908816,-76.610759
Carlsbad Mid-High School,6-12,1971-11-03,Carlsbad,NM,10:19 AM,32.4257456,-104.237612
Grove Elementary School,Elementary,1971-11-08,Tulsa,OK,9:00 AM,36.1563122,-95.9927516
Edmondson Senior High School,High,1971-11-24,Baltimore,MD,2:27 PM,39.2908816,-76.610759
Louis Stevenson Junior High School,Junior High,1971-12-06,Los Angeles,CA,,34.0536909,-118.242766
Carver Vocational High School,High,1971-12-13,Baltimore,MD,8:18 AM,39.2908816,-76.610759
Parkview Elementary School,Elementary,1972-01-05,Washington,DC,9:30 AM,4.6529539,-74.0835643
Stow High School,High,1972-01-24,Stow,OH,10:00 AM,41.1596261,-81.4406258
Gwynn Falls Junior High School,Junior High,1972-01-26,Baltimore,MD,1:55 PM,39.2908816,-76.610759
Harlem Park Junior High School,Junior High,1972-01-26,Baltimore,MD,2:45 PM,39.2908816,-76.610759
Camlumet High School,High,1972-02-14,Chicago,IL,,41.8755616,-87.6244212
Kenwood High School,High,1972-02-15,Chicago,IL,,41.8755616,-87.6244212
Markham Junior High School,Junior High,1972-02-28,Los Angeles,CA,,34.0536909,-118.242766
Unnamed Junior High School,Junior High,1972-03-13,Houston,TX,,29.7589382,-95.3676974
East Ascension Junior High,Junior High,1972-04-12,Gonzales,LA,,30.2385294,-90.9200987
Libby Booth Elementary School,Elementary,1972-05-04,Reno,NV,12:00 PM,39.5261206,-119.8126581
Decatur Central High School,High,1972-05-05,Indianapolis,IN,1:30 PM,39.7683331,-86.1583502
Francis Scott Key Junior High,Junior High,1972-09-14,Houston,TX,12:00 PM,29.7589382,-95.3676974
Saginaw High School,High,1972-09-15,Saginaw,MI,,43.4200387,-83.9490365
Cullen Junior High,Junior High,1972-09-19,Houston,TX,,29.7589382,-95.3676974
Thorton Junior High,Junior High,1972-09-21,Akron,OH,,41.083064,-81.518485
Jefferson High School,High,1972-11-11,Los Angeles,CA,,34.0536909,-118.242766
Pontiac Central High School,High,1972-11-27,Pontiac,MI,,42.6389216,-83.2910468
Miami Northwest High School,High,1972-11-29,Miami,FL,,25.7741728,-80.19362
South Iredell High School,High,1973-01-05,Statesville,NC,,35.7826363,-80.8872959
John Marshall High School,High,1973-01-18,Los Angeles,CA,,34.0536909,-118.242766
Cumming High School,High,1973-01-31,Burlington,NC,12:00 PM,36.0956918,-79.4377991
Booker T. Washington High School,High,1973-02-12,Montgomery,AL,5:15 PM,32.3669656,-86.3006485
Armstrong High School,High,1973-02-26,Richmond,VA,8:00 AM,37.5385087,-77.43428
Locke High School,High,1973-04-05,Los Angeles,CA,,34.0536909,-118.242766
Rayen High School,High,1973-05-01,Youngtown,OH,,40.83117,-81.56512
Wilson High School,High,1973-09-28,Los Angeles,CA,10:30 AM,34.0536909,-118.242766
Elmhurst Wood Park Community High School,High,1973-10-02,Almwood Park,IL,,39.01616,-86.84945
Beaumont High School,High,1973-10-19,St. Louis,MO,,38.6280278,-90.1910154
Barberton High School,High,1973-10-23,Barberton,OH,12:00 PM,41.012833,-81.6051221
Sumner High School,High,1973-10-23,St. Louis,MO,1:00 PM,38.6280278,-90.1910154
Central High School,High,1973-10-24,Minneapolis,MN,,44.9772995,-93.2654692
Northwestern High School,High,1973-10-31,St. Louis,MO,,38.6280278,-90.1910154
Woodell Phillips High School,High,1973-11-08,Chicago,IL,10:00 AM,41.8755616,-87.6244212
Long Beach Polytechnic High School,High,1973-11-09,Los Angeles,CA,,34.0536909,-118.242766
Fremont High School,High,1973-12-06,Los Angeles,CA,,34.0536909,-118.242766
Hughes High School,High,1973-12-13,Cincinnati,OH,1:10 PM,39.1014537,-84.5124602
Barton Elementary School,Elementary,1974-01-17,Chicago,IL,,41.8755616,-87.6244212
Locke High School,High,1974-01-22,Los Angeles,CA,,34.0536909,-118.242766
James Madison Junior High School,Junior High,1974-02-07,Oakland,CA,,37.8044557,-122.271356
Brownstown Central High School,High,1974-03-22,Brownstown,IN,8:00 AM,38.3808917,-86.5030407
St. Stephen's Parochial School,Other,1974-04-02,Bridgeport,CT,1:15 PM,41.1792695,-73.1887863
Church Hill High School,High,1974-05-10,Rogersville,TN,,36.407317,-83.0054423
Highlands Elementary School,Elementary,1974-05-19,Orlando,FL,,28.5421109,-81.3790304
Jefferson High School,High,1974-09-23,Daly City,CA,,37.6904826,-122.47267
San Fernando High School,High,1974-09-25,Los Angeles,CA,,34.0536909,-118.242766
Destrehan High School,High,1974-10-07,Hahnville,LA,,29.9765931,-90.4089708
Douglass High School,High,1974-10-21,Baltimore,MD,,39.2908816,-76.610759
C A Brown High School,High,1974-11-18,Charleston,SC,3:00 PM,32.7884363,-79.9399309
Booker Junior High School,Junior High,1974-11-21,Little Rock,AR,1:30 PM,34.7465071,-92.2896267
C A Brown High School,High,1974-11-25,Charleston,SC,3:00 PM,32.7884363,-79.9399309
Manual Arts High School,High,1974-12-18,Los Angeles,CA,12:00 PM,34.0536909,-118.242766
Olean High School,High,1974-12-30,Olean,NY,3:00 PM,42.0775022,-78.4298248
Board of Cooperative Educational Services,Other,1975-02-07,Mineola,NY,,40.7492678,-73.6406845
St. James School,K-8,1975-02-24,Penns Grove,NJ,,39.7295581,-75.4679734
Jones High School,High,1975-03-12,Houston,TX,,29.7589382,-95.3676974
Sumner High School,High,1975-03-18,St. Louis,MO,,38.6280278,-90.1910154
Fairmount Elementary School,Elementary,1975-03-21,Richmond,VA,12:00 PM,37.5385087,-77.43428
Patterson Cooperative High School,High,1975-03-21,Dayton,OH,,39.7589478,-84.1916069
Rock Junior High School,Junior High,1975-05-15,St. Louis,MO,12:30 PM,38.6280278,-90.1910154
Pitcher School,Elementary,1975-05-27,Detroit,MI,,42.3315509,-83.0466403
Dett Elementary School,Elementary,1975-07-09,Chicago,IL,8:15 AM,41.8755616,-87.6244212
Central High School,High,1975-07-11,St. Louis,MO,7:35 AM,38.6280278,-90.1910154
Grant High School,High,1975-09-11,Oklahoma City,OK,,35.4729886,-97.5170536
Hermosa Elementary School,Elementary,1975-10-01,Artesia,NM,8:00 AM,32.8423345,-104.4032963
Murphy High School,High,1975-10-24,Atlanta,GA,,33.7489924,-84.3902644
Orange High School,High,1975-12-18,Santa Ana,CA,12:00 PM,33.7494951,-117.873221
Camelback High School,High,1976-01-01,Phoenix,AZ,,33.4484367,-112.074141
Columbus Central High School,High,1976-01-23,Columbus,OH,2:20 PM,39.9622601,-83.0007065
Escambia High School,High,1976-02-06,Pensacola,FL,,30.421309,-87.2169149
Murray-Wright High School,High,1976-02-12,Detroit,MI,,42.3315509,-83.0466403
O D Wyatt High School,High,1976-04-12,Fort Worth,TX,,32.753177,-97.3327459
Mark Twain School,Elementary,1976-05-13,St. Louis,MO,,38.6280278,-90.1910154
Palm Beach Gardens High School,High,1976-05-14,West Palm Beach,FL,12:00 PM,26.715364,-80.0532942
Mt. Savage High School,High,1976-06-02,Cumberland,MD,11:45 AM,39.6526498,-78.762383
Guildord County School Bus,,1976-09-20,Greensboro,NC,,36.0726355,-79.7919754
Burt Elementary School,Elementary,1976-11-10,Detroit,MI,,42.3315509,-83.0466403
Fremont School,Elementary,1976-12-10,St. Louis,MO,,38.6280278,-90.1910154
Old Main Eisenhower High School,High,1977-01-13,Blue Island,IL,7:30 AM,41.6573014,-87.679871
Fenger High School,High,1977-02-09,Chicago,IL,,41.8755616,-87.6244212
Horace Mann Junior High School,Junior High,1977-02-28,Amarillo,TX,,35.2072185,-101.833824
Roosevelt High School,High,1977-02-28,St. Louis,MO,,38.6280278,-90.1910154
Collinsville High School,High,1977-03-08,Edwardsville,IL,12:35 PM,38.8114364,-89.953157
Parochial School,Other,1977-03-21,Hamburg,NY,,42.716293,-78.828717
Whitharral High School,High,1977-04-07,Whitharral,TX,9:00 AM,33.7375948,-102.3271221
Pioneer Christian Academy,Other,1977-04-18,Nashville,TN,9:00 AM,36.1622767,-86.7742984
Stone Middle School,Middle,1977-05-17,Cocoa,FL,8:15 PM,28.3553873,-80.7318827
Holy Trinity High School,High,1977-06-22,Chicago,IL,,41.8755616,-87.6244212
South Junior High School,Junior High,1977-07-11,Colorado Springs,CO,,38.8339578,-104.825348
Hazelwood Central Senior High School,High,1977-11-29,St. Louis,MO,7:05 PM,38.6280278,-90.1910154
Vashon High School,High,1977-11-29,St. Louis,MO,,38.6280278,-90.1910154
Petaluma McNear Elementary,Elementary,1977-12-09,Santa Rosa,CA,,38.4404925,-122.7141049
West Orange High School,High,1977-12-12,Winter Garden,FL,4:00 PM,28.5656649,-81.5856742
Blue Hills Vocational High School,High,1977-12-15,Canton,MA,,42.1584324,-71.1447732
Christian County Middle School,Middle,1978-01-11,Hopkinsville,KY,8:10 AM,36.8657651,-87.4889532
Hayes Junior High School,Junior High,1978-02-09,St. Albans,WV,8:00 AM,38.3789601,-81.81193031452082
Everett High School,High,1978-02-22,Lansing,MI,3:00 PM,42.7337712,-84.5553805
Monroe Elementary School,Elementary,1978-03-09,Santa Rosa,CA,,38.4404925,-122.7141049
Gallatin Junior High School,Junior High,1978-03-29,Nashville,TN,,36.1622767,-86.7742984
Fordson High School,High,1978-04-14,Detroit,MI,1:30 PM,42.3315509,-83.0466403
Paul Dunbar Elementary School,Elementary,1978-04-26,Dallas,TX,,32.7762719,-96.7968559
Ridgewood High School,High,1978-04-28,Norridge,IL,10:30 PM,41.9633641,-87.827284
Murchison Junior High School,Junior High,1978-05-18,Austin,TX,9:00 AM,30.2711286,-97.7436995
Downtown Junior High School,Junior High,1978-05-19,Philadelphia,PA,,39.9527237,-75.1635262
Dover Air High,High,1978-06-07,Dover,DE,,39.158168,-75.5243682
Weymouth South High School,High,1978-06-10,Weymouth,MA,,42.2212188,-70.9391625
Lanett Junior High School,Junior High,1978-10-17,Lanett,AL,,32.8687391,-85.1904971
University City High School,High,1978-10-17,University City,MO,10:15 AM,38.6569083,-90.3103443
Park West High School,High,1978-11-29,New York,NY,12:30 PM,40.7127281,-74.0060152
Wilbur Cross High School,High,1978-12-14,New Haven,CT,,41.3082138,-72.9250518
Grover Cleveland Elementary School,Elementary,1979-01-29,San Diego,CA,8:30 AM,32.7174202,-117.162772
Barstow High School,High,1979-02-26,Barstow,CA,,34.8986215,-117.0244313
Barstow High School,High,1979-02-26,Barstow,CA,,34.8986215,-117.0244313
McArthur High School North,High,1979-03-14,Miami,FL,2:20 PM,25.7741728,-80.19362
Los Angeles High School,High,1979-03-28,Los Angeles,CA,2:20 PM,34.0536909,-118.242766
Wisconsin Lutheran High School,High,1979-04-16,Milwaukee,WI,,43.0349931,-87.922497
Martin L. Mattei Junior High School,Junior High,1979-04-25,Hughestown,PA,,41.3270244,-75.7732488
Azle Junior High School,High,1979-04-26,Azle,TX,3:30 PM,32.8975875,-97.5437799
New Carlisle Elementary School,Elementary,1979-06-14,New Carlisle,OH,,39.9361699,-84.0254913
Carter G. Woodson Middle School,Middle,1979-09-26,New Orleans,LA,11:50 AM,29.9759983,-90.0782127
