School,Year,Date,Time,City,State,Killed,Injured,Longitude,Latitude
Columbine High School,1999,4/20/1999,11:19 AM,Littleton,Colorado,13,21,-105.075,39.60391
Scotlandville Middle School,1999,4/22/1999,12:30 PM,Baton Rouge,Louisiana,0,1,-91.169966,30.529958
Heritage High School,1999,5/20/1999,8:03 AM,Conyers,Georgia,0,6,-84.04796,33.626922
John Bartram High School,1999,10/4/1999,10:00 AM,Philadelphia,Pennsylvania,0,1,-75.234108,39.921509
Dorchester High School,1999,11/3/1999,7:40 AM,Boston,Massachusetts,0,1,-71.075901,42.285268
Deming Middle School,1999,11/19/1999,12:45 PM,Deming,New Mexico,1,0,-107.762986,32.261547
Fort Gibson Middle School,1999,12/6/1999,7:45 AM,Fort Gibson,Oklahoma,0,5,-95.241921,35.795556
Ridgewood High School,2000,1/19/2000,3:00 PM,New Port Richey,Florida,1,0,-82.687231,28.273253
Alicia Reyes Elementary School,2000,1/26/2000,8:34 AM,Merced,California,0,0,-120.494808,37.286387
Duke Ellington Elementary School,2000,2/14/2000,,Chicago,Illinois,0,1,-87.766042,41.885272
Horn Lake High School,2000,2/22/2000,,Horn Lake,Mississippi,0,0,-90.035423,34.948919
Tecumseh High School,2000,2/24/2000,9:00 AM,Tecumseh,Oklahoma,0,0,-96.943184,35.255494
Buell Elementary School,2000,2/29/2000,10:00 AM,Mount Morris Township,Michigan,1,0,-83.706037,43.079604
Hugo High School,2000,4/6/2000,12:00 PM,Hugo,Oklahoma,0,1,-95.511435,34.010732
Carmichael Elementary School,2000,5/10/2000,1:30 PM,Sierra Vista,Arizona,1,0,-110.29924,31.56269
Lake Worth Middle School,2000,5/26/2000,3:00 PM,Lake Worth,Florida,1,0,-80.085968,26.451351
Dimmitt Middle School,2000,7/17/2000,10:30 AM,Renton,Washington,0,0,-122.233115,47.493015
Mount Healthy North Junior High,2000,9/18/2000,,Mount Healthy,Ohio,0,0,-84.555558,39.251506
Carter G. Woodson Middle School,2000,9/26/2000,12:00 PM,New Orleans,Louisiana,0,1,-90.090046,29.939676
Hueneme High School,2001,1/10/2001,12:50 PM,Oxnard,California,0,0,-119.1822,34.160149
Lake Clifton Eastern High School,2001,1/17/2001,8:45 AM,Baltimore,Maryland,1,0,-76.590038,39.316116
Pearl C. Anderson Middle School,2001,2/6/2001,,Dallas,Texas,0,1,-96.744389,32.759323
Santana High School,2001,3/5/2001,9:20 AM,Santee,California,2,13,-116.971045,32.85756
Bishop Neumann Junior-Senior High,2001,3/7/2001,12:00 PM,Williamsport,Pennsylvania,0,1,-76.996564,41.249266
Granite Hills High School,2001,3/22/2001,1:00 PM,El Cajon,California,0,5,-116.916889,32.800101
Lew Wallace High School,2001,3/30/2001,8:15 AM,Gary,Indiana,1,0,-87.34132,41.536645
Monroe City Alternative Center,2001,4/20/2001,7:20 AM,Monroe,Louisiana,0,0,-92.070624,32.524187
Ennis High School,2001,5/15/2001,12:00 PM,Ennis,Texas,0,0,-96.629758,32.305062
Belmont High School,2001,7/30/2001,7:20 AM,Los Angeles,California,0,1,-118.263286,34.061499
Latonia Elementary School,2001,9/12/2001,3:00 PM,Covington,Kentucky,1,0,-84.49833,39.044149
Redondo Union High School,2001,10/26/2001,10:00 AM,Redondo Beach,California,0,1,-118.384456,33.844274
Caro Learning Center,2001,11/12/2001,2:40 PM,Caro,Michigan,0,0,-83.438553,43.458011
"Martin Luther King, Jr. High School",2002,1/15/2002,2:00 PM,New York City,New York,0,2,-73.985021,40.774262
Gardena High School,2002,2/6/2002,2:50 PM,Los Angeles,California,0,2,-118.296704,33.866342
Benjamin Tasker Middle School,2002,10/7/2002,8:09 AM,Bowie,Maryland,0,1,-76.746341,38.957407
Lincoln High School,2002,10/29/2002,8:30 AM,Jersey City,New Jersey,0,1,-74.070502,40.716783
St. James Catholic School,2002,11/7/2002,12:30 PM,Liberty,Missouri,1,1,-94.45515,39.240746
Mount Pleasant High School,2003,1/22/2003,,Providence,Rhode Island,0,0,-71.45125,41.837981
Ranum High School,2003,2/5/2003,8:40 AM,Westminster,Colorado,0,0,-105.015495,39.841774
Cardozo High School,2003,4/1/2003,12:15 PM,Washington,District of Columbia,0,1,-77.029756,38.922338
John McDonogh High School,2003,4/14/2003,10:30 AM,New Orleans,Louisiana,1,3,-90.075733,29.974421
Delhi Middle School,2003,4/15/2003,8:15 AM,Delhi,California,0,1,-120.792392,37.426801
Red Lion Area Junior High School,2003,4/24/2003,7:30 AM,Red Lion,Pennsylvania,1,0,-76.609728,39.893809
Vicksburg High School,2003,9/10/2003,2:30 PM,Vicksburg,Mississippi,1,0,-90.885251,32.323263
Lewis and Clark High School,2003,9/22/2003,11:10 AM,Spokane,Washington,0,0,-117.419841,47.652394
Rocori High School,2003,9/24/2003,11:38 AM,Cold Spring,Minnesota,2,0,-94.426618,45.466258
Burns Middle School,2003,9/25/2003,8:00 AM,Lawndale,North Carolina,0,0,-81.539104,35.425762
Rio Cazadero High School,2003,10/1/2003,9:00 AM,Sacramento,California,0,2,-121.435306,38.469639
East Mecklenburg High School,2003,11/13/2003,11:45 AM,Charlotte,North Carolina,0,1,-80.756579,35.175976
Ballou High School,2004,2/2/2004,10:30 AM,Washington,District of Columbia,1,1,-77.001667,38.839005
Columbia High School,2004,2/9/2004,10:30 AM,East Greenbush,New York,0,1,-73.690848,42.62068
T.M. Peirce Elementary School,2004,2/11/2004,8:30 AM,Philadelphia,Pennsylvania,1,1,-75.168248,39.998621
Castlemont High School,2004,6/9/2004,12:22 PM,Oakland,California,0,2,-122.16302,37.75982
Proviso East High School,2004,8/30/2004,2:30 PM,Maywood,Illinois,1,0,-87.83382,41.88062
Wirt High School,2004,9/15/2004,,Gary,Indiana,0,0,-87.26145,41.60997
Thurgood Marshall High School,2004,10/21/2004,4:00 PM,Baltimore,Maryland,0,2,-76.54552,39.31911
