School,Type,Date,City,State,Time
Hine Junior High School,High,1970-01-05,Washington,DC,
Sousa Junior High,Junior High,1970-01-05,Washington,DC,
Unnamed High School,High,1970-01-05,Washington,DC,
John F. Kennedy High School,High,1970-02-06,Cleveland,OH,
David Starr Jordan High School,High,1970-03-23,Long Beach,CA,
Pine Bluff Coleman High School,High,1970-04-15,Pine Bluff,AR,12:00 PM
Pierre S. Dupont High School,High,1970-04-22,Wilmington,DE,9:00 AM
Carver High School,High,1970-05-08,Delray Beach,FL,10:00 AM
Ben Lomond High School,High,1970-05-15,Ogden,UT,
Riverside High School,High,1970-08-28,El Paso,TX,12:00 AM
Allapatah Elementary School,Elementary,1970-08-31,Miami,FL,
Hamilton High School,High,1970-09-14,Nashville,TN,
Meridian High School,High,1970-09-24,Meridian ,ID,
Central High School,High,1970-09-28,Davenport,IA,
Pontiac Central High School,High,1970-10-05,Detroit,MI,
Booker T. Washington High School,High,1970-10-19,Memphis,TN,
Washington Junior High School,Junior High,1970-10-20,Nashville,TN,12:00 PM
Appleseed Junior High School,Junior High,1970-10-27,Mansfield,OH,8:30 AM
Harlan High School,High,1970-11-20,Chicago,IL,
Xavier High School,High,1970-12-12,Appleton,WI,11:55 PM
Morris E. Leeds Middle School,Middle,1971-02-02,Philadelphia,PA,
John F. Kennedy High School,High,1971-02-05,Willingboro,PA,
Oak Cliff High School,High,1971-02-10,Dallas,TX,
Franklin D. Roosevelt Junior High School,Junior High,1971-02-25,Cleveland,OH,
Roskruge Junior High School,Junior High,1971-03-09,Tucson,AZ,
William Penn High School,High,1971-04-05,Harrisburg,PA,
Benton Harbor High School,High,1971-05-27,Saint Joseph,MI,
East Aurora Middle School,Middle,1971-06-02,East Aurora,NY,
Monessen High School,High,1971-08-20,Monessen,PA,
Dunbar High School,High,1971-09-09,Lubbock,TX,
McKinley Vocational High School,High,1971-09-24,Buffalo,NY,
Central High School,High,1971-09-28,Minneapolis,MN,12:00 PM
Peabody Junior High School,Junior High,1971-09-29,Petersburg,VA,
City College High School,High,1971-10-28,Baltimore,MD,11:50 AM
Forest Park High School,High,1971-10-29,Baltimore,MD,11:55 AM
Frederick Douglass High School,High,1971-10-29,Baltimore,MD,3:00 PM
Carlsbad Mid-High School,6-12,1971-11-03,Carlsbad,NM,10:19 AM
Grove Elementary School,Elementary,1971-11-08,Tulsa,OK,9:00 AM
Edmondson Senior High School,High,1971-11-24,Baltimore,MD,2:27 PM
Louis Stevenson Junior High School,Junior High,1971-12-06,Los Angeles,CA,
Carver Vocational High School,High,1971-12-13,Baltimore,MD,8:18 AM
Parkview Elementary School,Elementary,1972-01-05,Washington,DC,9:30 AM
Stow High School,High,1972-01-24,Stow,OH,10:00 AM
Gwynn Falls Junior High School,Junior High,1972-01-26,Baltimore,MD,1:55 PM
Harlem Park Junior High School,Junior High,1972-01-26,Baltimore,MD,2:45 PM
Camlumet High School,High,1972-02-14,Chicago,IL,
Kenwood High School,High,1972-02-15,Chicago,IL,
Markham Junior High School,Junior High,1972-02-28,Los Angeles,CA,
Unnamed Junior High School,Junior High,1972-03-13,Houston,TX,
East Ascension Junior High,Junior High,1972-04-12,Gonzales,LA,
Libby Booth Elementary School,Elementary,1972-05-04,Reno,NV,12:00 PM
Decatur Central High School,High,1972-05-05,Indianapolis,IN,1:30 PM
Francis Scott Key Junior High,Junior High,1972-09-14,Houston,TX,12:00 PM
Saginaw High School,High,1972-09-15,Saginaw,MI,
Cullen Junior High,Junior High,1972-09-19,Houston,TX,
Thorton Junior High,Junior High,1972-09-21,Akron,OH,
Jefferson High School,High,1972-11-11,Los Angeles,CA,
Pontiac Central High School,High,1972-11-27,Pontiac,MI,
Miami Northwest High School,High,1972-11-29,Miami,FL,
South Iredell High School,High,1973-01-05,Statesville,NC,
John Marshall High School,High,1973-01-18,Los Angeles,CA,
Cumming High School,High,1973-01-31,Burlington,NC,12:00 PM
Booker T. Washington High School,High,1973-02-12,Montgomery,AL,5:15 PM
Armstrong High School,High,1973-02-26,Richmond,VA,8:00 AM
Locke High School,High,1973-04-05,Los Angeles,CA,
Rayen High School,High,1973-05-01,Youngtown,OH,
Wilson High School,High,1973-09-28,Los Angeles,CA,10:30 AM
Elmhurst Wood Park Community High School,High,1973-10-02,Almwood Park,IL,
Beaumont High School,High,1973-10-19,St. Louis,MO,
Barberton High School,High,1973-10-23,Barberton,OH,12:00 PM
Sumner High School,High,1973-10-23,St. Louis,MO,1:00 PM
Central High School,High,1973-10-24,Minneapolis,MN,
Northwestern High School,High,1973-10-31,St. Louis,MO,
Woodell Phillips High School,High,1973-11-08,Chicago,IL,10:00 AM
Long Beach Polytechnic High School,High,1973-11-09,Los Angeles,CA,
Fremont High School,High,1973-12-06,Los Angeles,CA,
Hughes High School,High,1973-12-13,Cincinnati,OH,1:10 PM
Barton Elementary School,Elementary,1974-01-17,Chicago,IL,
Locke High School,High,1974-01-22,Los Angeles,CA,
James Madison Junior High School,Junior High,1974-02-07,Oakland,CA,
Brownstown Central High School,High,1974-03-22,Brownstown,IN,8:00 AM
St. Stephen's Parochial School,Other,1974-04-02,Bridgeport,CT,1:15 PM
Church Hill High School,High,1974-05-10,Rogersville,TN,
Highlands Elementary School,Elementary,1974-05-19,Orlando,FL,
Jefferson High School,High,1974-09-23,Daly City,CA,
San Fernando High School,High,1974-09-25,Los Angeles,CA,
Destrehan High School,High,1974-10-07,Hahnville,LA,
Douglass High School,High,1974-10-21,Baltimore,MD,
C A Brown High School,High,1974-11-18,Charleston,SC,3:00 PM
Booker Junior High School,Junior High,1974-11-21,Little Rock,AR,1:30 PM
C A Brown High School,High,1974-11-25,Charleston,SC,3:00 PM
Manual Arts High School,High,1974-12-18,Los Angeles,CA,12:00 PM
Olean High School,High,1974-12-30,Olean,NY,3:00 PM
Board of Cooperative Educational Services,Other,1975-02-07,Mineola,NY,
St. James School,K-8,1975-02-24,Penns Grove,NJ,
Jones High School,High,1975-03-12,Houston,TX,
Sumner High School,High,1975-03-18,St. Louis,MO,
Fairmount Elementary School,Elementary,1975-03-21,Richmond,VA,12:00 PM
Patterson Cooperative High School,High,1975-03-21,Dayton,OH,
Rock Junior High School,Junior High,1975-05-15,St. Louis,MO,12:30 PM
Pitcher School,Elementary,1975-05-27,Detroit,MI,
Dett Elementary School,Elementary,1975-07-09,Chicago,IL,8:15 AM
Central High School,High,1975-07-11,St. Louis,MO,7:35 AM
Grant High School,High,1975-09-11,Oklahoma City,OK,
Hermosa Elementary School,Elementary,1975-10-01,Artesia,NM,8:00 AM
Murphy High School,High,1975-10-24,Atlanta,GA,
Orange High School,High,1975-12-18,Santa Ana,CA,12:00 PM
Camelback High School,High,1976-01-01,Phoenix,AZ,
Columbus Central High School,High,1976-01-23,Columbus,OH,2:20 PM
Escambia High School,High,1976-02-06,Pensacola,FL,
Murray-Wright High School,High,1976-02-12,Detroit,MI,
O D Wyatt High School,High,1976-04-12,Fort Worth,TX,
Mark Twain School,Elementary,1976-05-13,St. Louis,MO,
Palm Beach Gardens High School,High,1976-05-14,West Palm Beach,FL,12:00 PM
Mt. Savage High School,High,1976-06-02,Cumberland,MD,11:45 AM
Guildord County School Bus,,1976-09-20,Greensboro,NC,
Burt Elementary School,Elementary,1976-11-10,Detroit,MI,
Fremont School,Elementary,1976-12-10,St. Louis,MO,
Old Main Eisenhower High School,High,1977-01-13,Blue Island,IL,7:30 AM
Fenger High School,High,1977-02-09,Chicago,IL,
Horace Mann Junior High School,Junior High,1977-02-28,Amarillo,TX,
Roosevelt High School,High,1977-02-28,St. Louis,MO,
Collinsville High School,High,1977-03-08,Edwardsville,IL,12:35 PM
Parochial School,Other,1977-03-21,Hamburg,NY,
