School,Race,Killed,Injured,Longitude,Latitude,Year,City,State,Weapon,Weapon Source,Age,Gender_Shooter1,Shooter_Relationship1,Type,Date,Time,Bullied,Domestic_Violence,Gang_Related,Preplanned,Quarter,Location,Time_Bin,Weapon_Category
Columbine High School,W,13,21,-105.075,39.60391,1999,Littleton,Colorado,"12-Gauge Savage-Springfield 67H Pump-Action Shotgun, Hi-Point 995 Carbine 9 Mm Carbine, 9_19Mm Intratec Tec-9 Semi-Automatic Handgun, 12-Gauge Stevens 311D Double-Barreled Sawed-Off Shotgun",Purchased From Friends,18.0,M,Student,High School,04/20/1999,2024-05-16 11:19:00,Yes,No,No,Yes,Spring,Cafeteria,Morning,Pistol
Scotlandville Middle School,Unknown,0,1,-91.169966,30.529958,1999,Baton Rouge,Louisiana,.22 Caliber Pistol,Unknown,14.0,M,Former Student (Expelled),Middle School,04/22/1999,2024-05-16 12:30:00,No,No,No,No,Spring,Beside Building,Afternoon,Pistol
Heritage High School,W,0,6,-84.04796,33.626922,1999,Conyers,Georgia,".22 Caliber Rifle, 357-Caliber Magnum Handgun",Unknown,15.0,M,Student,High School,05/20/1999,2024-05-16 08:03:00,No,No,No,Yes,Spring,Hallway,Morning,Rifle
Deming Middle School,H,1,0,-107.762986,32.261547,1999,Deming,New Mexico,.22-Caliber Colt Revolver,Home,12.0,M,Student,Middle School,11/19/1999,2024-05-16 12:45:00,No,No,No,No,Fall,Outside on School Property,Afternoon,Pistol
Fort Gibson Middle School,Ai,0,5,-95.241921,35.795556,1999,Fort Gibson,Oklahoma,Taurus 9Mm Pistol,Father,13.0,M,Student,Middle School,12/06/1999,2024-05-16 07:45:00,No,No,No,No,Winter,Front of School,Morning,Pistol
Ridgewood High School,W,1,0,-82.687231,28.273253,2000,New Port Richey,Florida,.22-Caliber Magnum Handgun,Stolen,16.0,M,Student,High School,01/19/2000,2024-05-16 15:00:00,No,No,No,No,Winter,Outside on School Property,Afternoon,Pistol
Alicia Reyes Elementary School,Unknown,0,0,-120.494808,37.286387,2000,Merced,California,.22 Caliber Revolver,Unknown,13.0,M,No Connection,Elementary School,01/26/2000,2024-05-16 08:34:00,Yes,No,No,No,Winter,Parking Lot,Morning,Pistol
Duke Ellington Elementary School,Unknown,0,1,-87.766042,41.885272,2000,Chicago,Illinois,Unknown,Unknown,11.0,M,Student,Elementary School,02/14/2000,2024-05-16 15:00:00,No,No,No,No,Winter,Bathroom,Afternoon,Unknown
Hugo High School,Unknown,0,1,-95.511435,34.010732,2000,Hugo,Oklahoma,Small-Caliber Pistol,Legally Purchased By Shooter,33.0,F,Parent Of Student,High School,04/06/2000,2024-05-16 12:00:00,No,No,No,No,Spring,Football Field/Track,Afternoon,Pistol
Carmichael Elementary School,Unknown,1,0,-110.29924,31.56269,2000,Sierra Vista,Arizona,Unknown,Unknown,39.0,M,Spouse Of Teacher,Elementary School,05/10/2000,2024-05-16 13:30:00,No,Yes,No,No,Spring,Classroom,Afternoon,Unknown
Lake Worth Middle School,B,1,0,-80.085968,26.451351,2000,Lake Worth,Florida,.25-Caliber Handgun,Grandfather,13.0,M,Student,Middle School,05/26/2000,2024-05-16 15:00:00,No,No,No,No,Spring,Classroom,Afternoon,Pistol
Dimmitt Middle School,W,0,0,-122.233115,47.493015,2000,Renton,Washington,.22-Caliber Handgun,Grandparents,13.0,M,Student In Summer School,Middle School,07/17/2000,2024-05-16 10:30:00,Unknown,No,No,Yes,Summer,Cafeteria,Morning,Pistol
Mount Healthy North Junior High,Unknown,0,0,-84.555558,39.251506,2000,Mount Healthy,Ohio,.380-Caliber Semiautomatic Handgun,Relatives,14.0,M,Student,Middle School,09/18/2000,,No,No,No,No,Fall,Classroom,Unknown,Pistol
Carter G. Woodson Middle School,Unknown,0,1,-90.090046,29.939676,2000,New Orleans,Louisiana,.38-Caliber Revolver,Unknown,13.0,M,Student,Middle School,09/26/1979,2024-05-16 11:50:00,No,No,No,No,Fall,Field (General),Morning,Pistol
Hueneme High School,H,0,0,-119.1822,34.160149,2001,Oxnard,California,Handgun,Unknown,17.0,M,Not A Student But Often Hung Around The School,High School,01/10/2001,2024-05-16 12:50:00,No,No,Yes,No,Winter,Parking Lot,Afternoon,Pistol
Lake Clifton Eastern High School,Unknown,1,0,-76.590038,39.316116,2001,Baltimore,Maryland,.32-Caliber Handgun,Unknown,19.0,M,None,High School,01/17/2001,2024-05-16 08:45:00,No,No,No,No,Winter,Front of School,Morning,Pistol
Santana High School,W,2,13,-116.971045,32.85756,2001,Santee,California,.22-Caliber Revolver,Father,15.0,M,Student,High School,03/05/2001,2024-05-16 09:20:00,Yes,No,No,Yes,Spring,Bathroom,Morning,Pistol
Granite Hills High School,Unknown,0,5,-116.916889,32.800101,2001,El Cajon,California,Mossberg Pump-Action 12-Gauge Shotgun,Unknown,18.0,M,Student,High School,03/22/2001,2024-05-16 12:54:00,No,No,No,No,Spring,Beside Building,Afternoon,Shotgun
Lew Wallace High School,Unknown,1,0,-87.34132,41.536645,2001,Gary,Indiana,Pistol,Unknown,17.0,M,Former Student (Expelled),High School,03/30/2001,2024-05-16 08:15:00,Yes,No,Yes,No,Spring,Parking Lot,Morning,Pistol
Monroe City Alternative Center,Unknown,0,0,-92.070624,32.524187,2001,Monroe,Louisiana,.380 Caliber Semi-Automatic Pistol,Unknown,14.0,M,Student,High,04/20/2001,2024-05-16 07:20:00,No,No,No,Unknown,Spring,Hallway; Beside Building,Morning,Pistol
Ennis High School,Unknown,0,0,-96.629758,32.305062,2001,Ennis,Texas,.357 Magnum Pistol,Unknown,16.0,M,Student,High School,05/15/2001,2024-05-16 12:00:00,No,No,No,No,Spring,Classroom,Afternoon,Pistol
Belmont High School,Unknown,0,1,-118.263286,34.061499,2001,Los Angeles,California,Revolver,Unknown,,M,Unknown,High School,07/30/2001,2024-05-16 07:25:00,No,No,Unknown,No,Summer,Hallway,Morning,Pistol
Latonia Elementary School,W,1,0,-84.49833,39.044149,2001,Covington,Kentucky,.380-Caliber Semiautomatic Pistol,Unknown,30.0,F,Parent Of Student,Elementary School,09/12/2001,2024-05-16 15:00:00,No,No,No,No,Fall,Parking Lot,Afternoon,Pistol
Redondo Union High School,Unknown,0,1,-118.384456,33.844274,2001,Redondo Beach,California,.38-Caliber Handgun,Unknown,16.0,M,Student,High School,10/26/2001,2024-05-16 10:00:00,No,No,No,No,Fall,Courtyard,Morning,Pistol
Caro Learning Center,Unknown,0,0,-83.438553,43.458011,2001,Caro,Michigan,20-Guage Shotgun,Legally Purchased By Shooter,17.0,M,Student,High,11/12/2001,2024-05-16 14:40:00,No,No,No,No,Fall,Classroom,Afternoon,Shotgun
Gardena High School,Unknown,0,2,-118.296704,33.866342,2002,Los Angeles,California,Pistol,Unknown,17.0,M,Student,High School,02/06/2002,2024-05-16 14:50:00,No,No,No,No,Winter,Bathroom,Afternoon,Pistol
Gardena High School,Unknown,0,2,-118.29633,33.866372,2011,Los Angeles,California,9-Mm Beretta Handgun,Unknown,17.0,M,Student,High School,02/06/2002,2024-05-16 14:50:00,No,No,No,No,Winter,Bathroom,Afternoon,Pistol
Benjamin Tasker Middle School,B,0,1,-76.746341,38.957407,2002,Bowie,Maryland,Bushmaster Xm-15 Rifle,Stolen,,M,None,Middle School,10/07/2002,2024-05-16 08:09:00,No,No,No,No,Fall,Front of School,Morning,Rifle
Lincoln High School,Unknown,0,1,-74.070502,40.716783,2002,Jersey City,New Jersey,Browning .380-Caliber Pistol,Unknown,15.0,M,Student,High School,10/29/2002,2024-05-16 08:30:00,No,No,No,No,Fall,Hallway,Morning,Pistol
St. James Catholic School,Unknown,1,1,-94.45515,39.240746,2002,Liberty,Missouri,Revolver,Legally Purchased By Shooter,41.0,M,Parent Of Student,K-8,11/07/2002,2024-05-16 12:40:00,No,Yes,No,No,Fall,Parking Lot,Afternoon,Pistol
Ranum High School,Unknown,0,0,-105.015495,39.841774,2003,Westminster,Colorado,Small Semi-Automatic Handgun,Unknown,14.0,M,Student,High School,02/05/2003,2024-05-16 08:40:00,No,No,No,No,Winter,Outside on School Property,Morning,Pistol
Cardozo High School,Unknown,0,1,-77.029756,38.922338,2003,Washington,District Of Columbia,Handgun,Unknown,15.0,M,Student,High School,04/01/2003,2024-05-16 12:15:00,No,No,Yes,No,Spring,Hallway,Afternoon,Pistol
Red Lion Area Junior High School,W,1,0,-76.609728,39.893809,2003,Red Lion,Pennsylvania,".44-Caliber Handgun, .22-Caliber Gun To Kill Himself",Stepfather,14.0,M,Student,Middle School,04/24/2003,2024-05-16 07:34:00,No,No,No,No,Spring,Cafeteria,Morning,Pistol
Vicksburg High School,Unknown,1,0,-90.885251,32.323263,2003,Vicksburg,Mississippi,Handgun,Unknown,20.0,M,Unknown,High School,09/10/2003,2024-05-16 14:30:00,No,No,No,No,Fall,Football Field/Track,Afternoon,Pistol
Rocori High School,W,2,0,-94.426618,45.466258,2003,Cold Spring,Minnesota,.22 Caliber Pistol,Father,15.0,M,Student,High School,09/24/2003,2024-05-16 11:38:00,Yes,No,No,No,Fall,Gym,Morning,Pistol
Burns Middle School,Unknown,0,0,-81.539104,35.425762,2003,Lawndale,North Carolina,9Mm Handgun,Unknown,13.0,M,Student,Middle School,09/25/2003,2024-05-16 08:00:00,No,Unknown,No,Unknown,Fall,Hallway,Morning,Pistol
Rio Cazadero High School,Unknown,0,2,-121.435306,38.469639,2003,Sacramento,California,Officer Weapons,Police,,M,Multiple Officers,High School,10/01/2003,2024-05-16 09:00:00,No,Yes,No,No,Fall,Classroom; Beside Building,Morning,Other
East Mecklenburg High School,Unknown,0,1,-80.756579,35.175976,2003,Charlotte,North Carolina,.25-Caliber Handgun,Unknown,15.0,M,Student,High School,11/13/2003,2024-05-16 11:45:00,No,No,No,No,Fall,Classroom,Morning,Pistol
Columbia High School,W,0,1,-73.690848,42.62068,2004,East Greenbush,New York,12-Gauge Winchester Shotgun,Unknown,16.0,M,Student,High School,02/09/2004,2024-05-16 10:30:00,No,No,No,Yes,Winter,Bathroom,Morning,Shotgun
Castlemont High School,Unknown,0,2,-122.16302,37.75982,2004,Oakland,California,Unknown,Unknown,,Unknown,Unknown,High School,06/09/2004,2024-05-16 12:22:00,No,No,Yes,No,Summer,Front of School,Afternoon,Unknown
Proviso East High School,B,1,0,-87.83382,41.88062,2004,Maywood,Illinois,Handgun,Unknown,,M,None,High School,08/30/2004,2024-05-16 14:30:00,No,No,Yes,No,Summer,Parking Lot,Afternoon,Pistol
Wirt High School,Unknown,0,0,-87.26145,41.60997,2004,Gary,Indiana,Handgun,Unknown,,M,Student,High School,03/03/1989,2024-05-16 12:09:00,No,No,No,No,Spring,Beside Building,Afternoon,Pistol
Thurgood Marshall High School,Unknown,0,2,-76.54552,39.31911,2004,Baltimore,Maryland,Handgun,Unknown,16.0,M,Student,High School,10/21/2004,2024-05-16 16:00:00,No,No,No,No,Fall,Courtyard,Afternoon,Pistol
Booker T. Washington High School,Unknown,0,1,-90.08893,29.94966,2004,New Orleans,Louisiana,.38-Caliber Revolver,Department Issued,28.0,F,Security Guard,High School,02/19/1991,2024-05-16 13:00:00,No,No,No,No,Winter,Outside on School Property,Afternoon,Pistol
Booker T. Washington High School,Unknown,0,1,-90.08925,29.94991,2023,New Orleans,Louisiana,Unknown,Unknown,,Unknown,Unknown,High School,02/19/1991,2024-05-16 13:00:00,No,No,No,No,Winter,Outside on School Property,Afternoon,Unknown
Woodruff High School,B,0,0,-89.57513,40.70725,2005,Peoria,Illinois,Handgun,Unknown,15.0,M,Student,High School,01/26/2005,,No,No,No,No,Winter,Hallway,Unknown,Pistol
Bowen High School,Unknown,0,1,-87.557742,41.73354,2005,Chicago,Illinois,Unknown,Unknown,,Unknown,Unknown,High School,02/08/2005,2024-05-16 14:32:00,Unknown,No,No,No,Winter,Beside Building,Afternoon,Unknown
Maplewood Comprehensive High School,Unknown,0,1,-86.74568,36.22912,2005,Nashville,Tennessee,Handgun,Unknown,16.0,M,Former Student (Expelled),High School,03/09/2005,2024-05-16 14:00:00,No,No,No,No,Spring,Parking Lot,Afternoon,Pistol
Canton High School,W,0,1,-95.86617,32.54958,2005,Canton,Texas,.45-Caliber Pistol,Legally Purchased By Shooter,45.0,M,Father Of Football Player,High School,04/07/2005,2024-05-16 09:15:00,No,No,No,No,Spring,Office,Morning,Pistol
Highland Elementary School,Unknown,1,0,-76.95256,40.21999,2005,Lower Allen Township,Pennsylvania,9 Mm Semiautomatic Handgun,Unknown,47.0,M,Dating Mother Of Student,Elementary School,05/17/2005,2024-05-16 15:00:00,No,Yes,No,No,Spring,Parking Lot,Afternoon,Pistol
Sojourner Truth High School,Unknown,0,1,-81.61618,30.27037,2005,Jacksonville,Florida,Handgun,Unknown,,M,Unknown,High School,09/02/2005,2024-05-16 12:50:00,Unknown,No,No,No,Fall,Beside Building,Afternoon,Pistol
Harlan Community Academy High School,Unknown,0,1,-87.62085,41.7184,2005,Chicago,Illinois,.25-Caliber Handgun,Unknown,15.0,M,Student,High School,09/13/2005,2024-05-16 14:20:00,Unknown,No,No,No,Fall,Hallway,Afternoon,Pistol
Farmington High School,W,0,0,-90.43619,37.78108,2005,Farmington,Missouri,Single-Shot Shotgun,Father,17.0,M,Student,High School,10/11/2005,2024-05-16 08:00:00,Unknown,Unknown,No,No,Fall,Bathroom,Morning,Shotgun
Saginaw High School,Unknown,0,1,-83.92541,43.40713,2005,Saginaw,Michigan,.380-Caliber Handgun,Stolen,15.0,M,Student,High School,09/15/1972,,Unknown,Unknown,Unknown,No,Fall,Hallway,Unknown,Pistol
Central High School,Unknown,0,1,-83.11269,42.38469,2005,Detroit,Michigan,Unknown,Unknown,18.0,M,Unknown,High School,10/22/1984,2024-05-16 13:25:00,No,No,No,No,Fall,Hallway,Afternoon,Unknown
Central High School,Unknown,0,2,-83.1115,42.3837,2009,Detroit,Michigan,Handgun,Unknown,17.0,M,Non-Student,High School,10/22/1984,2024-05-16 13:25:00,No,No,No,No,Fall,Hallway,Afternoon,Pistol
Milwee Middle School,W,1,0,-81.34669,28.68172,2006,Longwood,Florida,High-Powered Rifle,Police Issued,,M,Swat Officer,Middle School,01/13/2006,2024-05-16 09:30:00,No,No,No,No,Winter,Classroom,Morning,Rifle
Indian River High School,Unknown,0,0,-76.24185,36.79721,2006,Chesapeake,Virginia,Unknown,Unknown,19.0,M,Unknown,High School,01/18/2006,2024-05-16 11:00:00,No,No,No,No,Winter,Cafeteria,Morning,Unknown
Will C. Wood High School,Unknown,0,1,-121.97421,38.34635,2006,Vacaville,California,Small Revolver,Unknown,14.0,M,Student,High School,01/23/2006,2024-05-16 09:45:00,No,No,No,No,Winter,Gym,Morning,Pistol
Lakeview Centennial High School,Unknown,0,2,-96.57589,32.85566,2006,Garland,Texas,Small-Caliber Semiautomatic Handgun,Unknown,16.0,M,Student,High School,10/14/1997,,No,No,No,No,Fall,Bathroom,Unknown,Pistol
