Incident_ID,Date,Quarter,School,City,State,School_Level,Location,During_School,Time_Period,First_Shot,Bullied,Domestic_Violence,Gang_Related,Preplanned
19700105DCHIW,1970-01-05,Winter,Hine Junior High School,Washington,DC,High,Inside School Building,Yes,,,No,No,No,No
19700105DCSOW,1970-01-05,Winter,Sousa Junior High,Washington,DC,Junior High,Hallway,Yes,,,No,No,No,No
19700105DCUNW,1970-01-05,Winter,Unnamed High School,Washington,DC,High,Playground,Yes,,,No,No,No,No
19700206OHJOC,1970-02-06,Winter,John F. Kennedy High School,Cleveland,OH,High,Hallway,Yes,,,No,No,No,No
19700323CADAL,1970-03-23,Spring,David Starr Jordan High School,Long Beach,CA,High,Beside Building,No,Night,,No,No,No,No
19700415ARPIP,1970-04-15,Spring,Pine Bluff Coleman High School,Pine Bluff,AR,High,Cafeteria,Yes,Lunch,12:00 PM,No,No,Yes,No
19700422DEPIW,1970-04-22,Spring,Pierre S. Dupont High School,Wilmington,DE,High,Hallway,Yes,Morning Classes,9:00 AM,No,No,No,No
19700508FLCAD,1970-05-08,Spring,Carver High School,Delray Beach,FL,High,Inside School Building,Yes,Morning Classes,10:00 AM,No,No,No,No
19700515UTBEO,1970-05-15,Spring,Ben Lomond High School,Ogden,UT,High,Hallway,Yes,,,,No,No,No
19700828TXRIE,1970-08-28,Summer,Riverside High School,El Paso,TX,High,Outside on School Property,Yes,Lunch,12:00 AM,No,No,No,No
19700831FLALM,1970-08-31,Summer,Allapatah Elementary School,Miami,FL,Elementary,Inside School Building,Yes,Dismissal,,No,No,No,No
19700914TNHAN,1970-09-14,Fall,Hamilton High School,Nashville,TN,High,Hallway,Yes,,,No,No,No,No
19700924IDMEM,1970-09-24,Fall,Meridian High School,Meridian ,ID,High,Parking Lot,,,,No,No,No,No
19700928IACED,1970-09-28,Fall,Central High School,Davenport,IA,High,Bathroom,Yes,,,No,Yes,No,No
19701005MIPOD,1970-10-05,Fall,Pontiac Central High School,Detroit,MI,High,Outside on School Property,Yes,,,No,No,No,No
19701019TNBOM,1970-10-19,Fall,Booker T. Washington High School,Memphis,TN,High,Inside School Building,Yes,,,No,No,No,No
19701020TNWAN,1970-10-20,Fall,Washington Junior High School,Nashville,TN,Junior High,Hallway,Yes,Lunch,12:00 PM,No,No,No,No
19701027OHAPM,1970-10-27,Fall,Appleseed Junior High School,Mansfield,OH,Junior High,Bathroom,Yes,Morning Classes,8:30 AM,,No,No,No
19701120ILHAC,1970-11-20,Fall,Harlan High School,Chicago,IL,High,Inside School Building,Yes,,,No,No,Yes,No
19701212WIXAA,1970-12-12,Winter,Xavier High School,Appleton,WI,High,Inside School Building,No,Night,11:55 PM,No,No,No,N/A
19710202PAMOP,1971-02-02,Winter,Morris E. Leeds Middle School,Philadelphia,PA,Middle,Outside on School Property,No,,,No,No,No,Yes
19710205PAJOW,1971-02-05,Winter,John F. Kennedy High School,Willingboro,PA,High,ND,Yes,Unknown,,,,No,No
19710210TXOAD,1971-02-10,Winter,Oak Cliff High School,Dallas,TX,High,Outside on School Property,Yes,,,No,No,No,No
19710225OHFRC,1971-02-25,Winter,Franklin D. Roosevelt Junior High School,Cleveland,OH,Junior High,Bathroom,Yes,,,,No,No,No
19710309AZROT,1971-03-09,Spring,Roskruge Junior High School,Tucson,AZ,Junior High,Playground,Yes,,,No,No,No,No
19710405PAWIH,1971-04-05,Spring,William Penn High School,Harrisburg,PA,High,Cafeteria,Yes,,,No,Yes,No,No
19710527MIBES,1971-05-27,Spring,Benton Harbor High School,Saint Joseph,MI,High,Inside School Building,Yes,,,Yes,No,No,No
19710602NYEAE,1971-06-02,Summer,East Aurora Middle School,East Aurora,NY,Middle,Classroom,Yes,Afternoon Classes,,No,No,No,No
19710820PAMOM,1971-08-20,Summer,Monessen High School,Monessen,PA,High,Outside on School Property,No,Night,,No,No,No,No
19710909TXDUL,1971-09-09,Fall,Dunbar High School,Lubbock,TX,High,Inside School Building,Yes,School Start,,No,No,No,No
19710924NYMCB,1971-09-24,Fall,McKinley Vocational High School,Buffalo,NY,High,Classroom,Yes,,,No,No,No,No
19710928MNCEM,1971-09-28,Fall,Central High School,Minneapolis,MN,High,Inside School Building,Yes,Lunch,12:00 PM,No,No,No,No
19710929VAPEP,1971-09-29,Fall,Peabody Junior High School,Petersburg,VA,Junior High,Classroom,Yes,,,,No,No,No
19711028MDCIB,1971-10-28,Fall,City College High School,Baltimore,MD,High,Hallway,Yes,Lunch,11:50 AM,No,No,No,No
19711029MDFOB,1971-10-29,Fall,Forest Park High School,Baltimore,MD,High,Beside Building,Yes,Lunch,11:55 AM,No,No,No,No
19711029MDFRB,1971-10-29,Fall,Frederick Douglass High School,Baltimore,MD,High,Parking Lot,No,Dismissal,3:00 PM,No,No,No,No
19711103NMCAC,1971-11-03,Fall,Carlsbad Mid-High School,Carlsbad,NM,6-12,Other,Yes,Morning Classes,10:19 AM,No,No,No,No
19711108OKGRT,1971-11-08,Fall,Grove Elementary School,Tulsa,OK,Elementary,Other,Yes,Morning Classes,9:00 AM,No,No,No,No
19711124MDEDB,1971-11-24,Fall,Edmondson Senior High School,Baltimore,MD,High,Parking Lot,Yes,Afternoon Classes,2:27 PM,No,No,No,No
19711206CALOL,1971-12-06,Winter,Louis Stevenson Junior High School,Los Angeles,CA,Junior High,Gym,Yes,,,No,No,Yes,No
19711213MDCAB,1971-12-13,Winter,Carver Vocational High School,Baltimore,MD,High,Classroom,Yes,Morning Classes,8:18 AM,No,No,No,No
19720105DCPAW,1972-01-05,Winter,Parkview Elementary School,Washington,DC,Elementary,Classroom,Yes,Morning Classes,9:30 AM,No,Yes,No,No
19720124OHSTS,1972-01-24,Winter,Stow High School,Stow,OH,High,Classroom,Yes,Morning Classes,10:00 AM,No,No,No,No
19720126MDGWB,1972-01-26,Winter,Gwynn Falls Junior High School,Baltimore,MD,Junior High,Cafeteria,Yes,Afternoon Classes,1:55 PM,No,No,No,No
19720126MDHAB,1972-01-26,Winter,Harlem Park Junior High School,Baltimore,MD,Junior High,Beside Building,No,Dismissal,2:45 PM,,No,No,No
19720214ILCAC,1972-02-14,Winter,Camlumet High School,Chicago,IL,High,Outside on School Property,Yes,Dismissal,,No,No,Yes,No
19720215ILKEC,1972-02-15,Winter,Kenwood High School,Chicago,IL,High,Inside School Building,No,Night,,N/A,N/A,N/A,N/A
19720228CAMAL,1972-02-28,Winter,Markham Junior High School,Los Angeles,CA,Junior High,Inside School Building,Yes,,,No,No,No,No
19720313TXUNH,1972-03-13,Spring,Unnamed Junior High School,Houston,TX,Junior High,Classroom,Yes,,,No,No,No,No
19720412LAEAG,1972-04-12,Spring,East Ascension Junior High,Gonzales,LA,Junior High,Inside School Building,Yes,After School,,No,Yes,No,No
19720504NVLIR,1972-05-04,Spring,Libby Booth Elementary School,Reno,NV,Elementary,Office,Yes,Lunch,12:00 PM,No,No,No,No
19720505INDEI,1972-05-05,Spring,Decatur Central High School,Indianapolis,IN,High,Field (General),Yes,Afternoon Classes,1:30 PM,No,No,No,No
19720914TXFRH,1972-09-14,Fall,Francis Scott Key Junior High,Houston,TX,Junior High,Hallway,Yes,Morning Classes,12:00 PM,No,No,No,No
19720915MISAS,1972-09-15,Fall,Saginaw High School,Saginaw,MI,High,Hallway,Yes,Afternoon Classes,,,,,No
19720919TXCUH,1972-09-19,Fall,Cullen Junior High,Houston,TX,Junior High,Inside School Building,No,School Start,,No,Yes,No,No
19720921OHTHA,1972-09-21,Fall,Thorton Junior High,Akron,OH,Junior High,Classroom,Yes,Dismissal,,No,No,No,No
19721111CAJEL,1972-11-11,Fall,Jefferson High School,Los Angeles,CA,High,Football Field/Track,No,School Event,,No,No,Yes,No
19721127MIPOP,1972-11-27,Fall,Pontiac Central High School,Pontiac,MI,High,Outside on School Property,Yes,,,No,No,No,Yes
19721129FLMIM,1972-11-29,Fall,Miami Northwest High School,Miami,FL,High,Off School Property,Yes,,,No,No,No,No
